orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.0617993106884223
++,114435.0,1.0523880036587063
++,120265.5,1.0839697797663406
++,127845.0,1.0615809707185464
++,137698.5,1.0751678862108798
++,150508.0,1.0654752375913847
++,167160.5,1.0646348817320312
++,188808.5,1.040751910142195
++,216951.0,1.0338285919317785
++,253537.0,1.023281925822948
++,301098.0,1.0162277452898787
++,362927.5,1.005825171636333
++,443306.0,1.0024619158687254
++,547797.5,0.9980763949752159
++,683637.0,0.9974057303458227
++,860228.5,0.9983755001655163
++,1089797.5,0.9988452701167782
++,1388237.0,0.9988044757311101
++,1776208.0,0.9991036909052952
++,2280570.5,0.99957592472503
++,2936241.5,0.999615978933349
++,3788614.0,0.9995231407784523
++,4896698.5,0.9996996074526731
++,6337208.5,0.9997668584686092
++,8209871.5,0.9997040311359224
++,10644332.5,0.9999211949878766
+-,106500.0,nan
+-,109950.0,1.158759080318227
+-,114435.0,1.183382017030406
+-,120265.5,1.1686445853654122
+-,127845.0,1.1949771304342804
+-,137698.5,1.141435282119603
+-,150508.0,1.1353679573164401
+-,167160.5,1.1390362045931512
+-,188808.5,1.110129146596552
+-,216951.0,1.0870381126962994
+-,253537.0,1.0745156994824145
+-,301098.0,1.0442875090293313
+-,362927.5,1.0240260991047982
+-,443306.0,1.0122717694702497
+-,547797.5,1.0025687439844944
+-,683637.0,1.0010955857924086
+-,860228.5,0.9993627994007208
+-,1089797.5,0.9990625300137468
+-,1388237.0,0.9986074986339818
+-,1776208.0,0.999511449972242
+-,2280570.5,0.999724712876277
+-,2936241.5,0.9996430100959629
+-,3788614.0,0.9997207570210132
+-,4896698.5,0.9995895948480671
+-,6337208.5,0.9997128541823797
+-,8209871.5,0.9997449773833065
+-,10644332.5,1.000019130985419
-+,106500.0,nan
-+,109950.0,0.9998777989319066
-+,114435.0,0.9886655383069616
-+,120265.5,0.9997150638764684
-+,127845.0,1.0146141238984447
-+,137698.5,1.0212664024519669
-+,150508.0,1.005167256365813
-+,167160.5,1.0043859390160534
-+,188808.5,0.9991069934555034
-+,216951.0,1.0021149997748435
-+,253537.0,0.9956120673522507
-+,301098.0,0.992542750889815
-+,362927.5,0.991847813118824
-+,443306.0,0.9922969841012135
-+,547797.5,0.9941839857442148
-+,683637.0,0.9963514473538422
-+,860228.5,0.9967435039625929
-+,1089797.5,0.9985275708128859
-+,1388237.0,0.9990453608810622
-+,1776208.0,0.999019057692021
-+,2280570.5,0.9993674948637012
-+,2936241.5,0.9993359325552351
-+,3788614.0,0.9995572701882995
-+,4896698.5,0.9995896773768587
-+,6337208.5,0.9997365512715825
-+,8209871.5,0.9997861847385171
-+,10644332.5,0.9997374206250697
--,106500.0,nan
--,109950.0,1.060331622015153
--,114435.0,1.0837352116723322
--,120265.5,1.0512340248286889
--,127845.0,1.0646942171810465
--,137698.5,1.1135980315878822
--,150508.0,1.065169098574831
--,167160.5,1.0471629846269563
--,188808.5,1.061665547199357
--,216951.0,1.0391727757279159
--,253537.0,1.0201987274190816
--,301098.0,1.0142620044357467
--,362927.5,1.0039147286101173
--,443306.0,1.0004482882110624
--,547797.5,0.9977173319944015
--,683637.0,0.9980131240717636
--,860228.5,0.9976872490389797
--,1089797.5,0.9984754485670732
--,1388237.0,0.9987230675985868
--,1776208.0,0.9993869070847924
--,2280570.5,0.9994453082140464
--,2936241.5,0.9994095110195775
--,3788614.0,0.9994889931754695
--,4896698.5,0.9997165914543098
--,6337208.5,0.9996983519473632
--,8209871.5,0.9997169330513574
--,10644332.5,0.9999219602012329
