orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.3008347212176954
++,114435.0,1.2573064268891507
++,120265.5,1.3247930194465898
++,127845.0,1.2651010177360869
++,137698.5,1.2859395708818884
++,150508.0,1.25785776519256
++,167160.5,1.2728759032037447
++,188808.5,1.202507147703203
++,216951.0,1.1974446423658809
++,253537.0,1.1699791182045365
++,301098.0,1.1486604724745695
++,362927.5,1.0930338449884915
++,443306.0,1.0671877915791161
++,547797.5,1.003813226660562
++,683637.0,0.9657163670638955
++,860228.5,0.9665394242790114
++,1089797.5,0.9638744635447996
++,1388237.0,0.9495546740265034
++,1776208.0,0.9475224480206229
++,2280570.5,0.9682286995363376
++,2936241.5,0.9622688585165289
++,3788614.0,0.943007439755522
++,4896698.5,0.9586756148481862
++,6337208.5,0.9617313153028477
++,8209871.5,0.9441880750532854
++,10644332.5,0.9837674489875046
+-,106500.0,nan
+-,109950.0,1.5029627977293356
+-,114435.0,1.5501348570249982
+-,120265.5,1.5210710286777338
+-,127845.0,1.5754835194108616
+-,137698.5,1.4560321140830577
+-,150508.0,1.4361475202853322
+-,167160.5,1.4601110004467939
+-,188808.5,1.3976520560483598
+-,216951.0,1.3746671087757951
+-,253537.0,1.3731191972838523
+-,301098.0,1.27582731993266
+-,362927.5,1.2027810496795759
+-,443306.0,1.1439254010561395
+-,547797.5,1.057779069423618
+-,683637.0,1.031155528666282
+-,860228.5,0.9931379194852258
+-,1089797.5,0.9742773175845209
+-,1388237.0,0.9389171805071083
+-,1776208.0,0.9712050850558043
+-,2280570.5,0.9786705910444358
+-,2936241.5,0.9649948988785133
+-,3788614.0,0.965881624918228
+-,4896698.5,0.9432149457604977
+-,6337208.5,0.9525557282331236
+-,8209871.5,0.9505937630724669
+-,10644332.5,1.002452575901537
-+,106500.0,nan
-+,109950.0,1.1567952104689188
-+,114435.0,1.117000469206456
-+,120265.5,1.1267541901647606
-+,127845.0,1.1524644092877303
-+,137698.5,1.1480581135040482
-+,150508.0,1.1052501004652753
-+,167160.5,1.0979671896881404
-+,188808.5,1.0742596043716826
-+,216951.0,1.085748548924137
-+,253537.0,1.054766265006878
-+,301098.0,1.0243050426086304
-+,362927.5,1.0011007353749064
-+,443306.0,0.9769872303373043
-+,547797.5,0.9530824627149994
-+,683637.0,0.9505258905103074
-+,860228.5,0.9258640489193795
-+,1089797.5,0.9542005396464239
-+,1388237.0,0.957421011394967
-+,1776208.0,0.9424458583221947
-+,2280570.5,0.9537361183621837
-+,2936241.5,0.9370637732746787
-+,3788614.0,0.9482481616055016
-+,4896698.5,0.9434268331627028
-+,6337208.5,0.9546533315169262
-+,8209871.5,0.9583765237305517
-+,10644332.5,0.9463346622378284
--,106500.0,nan
--,109950.0,1.2878136731710028
--,114435.0,1.3466689912710605
--,120265.5,1.248368891683993
--,127845.0,1.276271665326491
--,137698.5,1.3857969960432026
--,150508.0,1.27064808856065
--,167160.5,1.2131856576465219
--,188808.5,1.2708910055844214
--,216951.0,1.217509793767552
--,253537.0,1.1643836842250188
--,301098.0,1.1285971836923765
--,362927.5,1.0794604413823246
--,443306.0,1.0487452282636494
--,547797.5,0.999812154054933
--,683637.0,0.9808218536387001
--,860228.5,0.9509720068184025
--,1089797.5,0.9547735542310778
--,1388237.0,0.94355199677975
--,1776208.0,0.96603265158865
--,2280570.5,0.959127063706615
--,2936241.5,0.94348742521558
--,3788614.0,0.9405429574583262
--,4896698.5,0.9608461540690427
--,6337208.5,0.9493755457233752
--,8209871.5,0.9464613436745054
--,10644332.5,0.9834373235805645
