orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.020040739982009
++,114435.0,1.027633125578528
++,120265.5,1.034918850519316
++,127845.0,1.0432574376721693
++,137698.5,1.054187889180785
++,150508.0,1.0552449516782163
++,167160.5,1.0791990547208055
++,188808.5,1.082116806714491
++,216951.0,1.0876016110400721
++,253537.0,1.0823249204617427
++,301098.0,1.0817694992517255
++,362927.5,1.0800904558265503
++,443306.0,1.060796675451287
++,547797.5,1.0547733538011157
++,683637.0,1.0447893064383218
++,860228.5,1.0320520210571806
++,1089797.5,1.0185773616869358
++,1388237.0,1.0075584650349174
++,1776208.0,1.0014486971877319
++,2280570.5,0.9990464381618556
++,2936241.5,0.9985642301748969
++,3788614.0,0.9988417557097342
++,4896698.5,0.9991366825640916
++,6337208.5,0.9992789710032493
++,8209871.5,0.9994485196573639
++,10644332.5,0.9995165153954182
+-,106500.0,nan
+-,109950.0,1.0323983529502252
+-,114435.0,1.066199209010803
+-,120265.5,1.0652649960284277
+-,127845.0,1.0788611819909697
+-,137698.5,1.0831098559586738
+-,150508.0,1.0986247369507824
+-,167160.5,1.1210191262107674
+-,188808.5,1.1114821153323169
+-,216951.0,1.1339080592175903
+-,253537.0,1.1445134809892528
+-,301098.0,1.1314760614124237
+-,362927.5,1.120367543503411
+-,443306.0,1.110153190861595
+-,547797.5,1.094727756505009
+-,683637.0,1.0787052731770705
+-,860228.5,1.0595171162326191
+-,1089797.5,1.0372184457035092
+-,1388237.0,1.0223999364518563
+-,1776208.0,1.0092612794248481
+-,2280570.5,1.0025792994282132
+-,2936241.5,0.9993847332513383
+-,3788614.0,0.9990559599022573
+-,4896698.5,0.9991238907423444
+-,6337208.5,0.9993554015771586
+-,8209871.5,0.9994406573999184
+-,10644332.5,0.9994905830382956
-+,106500.0,nan
-+,109950.0,0.9762852937751686
-+,114435.0,0.9918418742468534
-+,120265.5,1.0055222359831602
-+,127845.0,1.0158409707737897
-+,137698.5,1.0183686477956895
-+,150508.0,1.0207723793869594
-+,167160.5,1.0363019660400967
-+,188808.5,1.0451860074957136
-+,216951.0,1.054474989257679
-+,253537.0,1.0411085880497633
-+,301098.0,1.0365521085055907
-+,362927.5,1.038637032316974
-+,443306.0,1.031968545864297
-+,547797.5,1.0265497981267144
-+,683637.0,1.0139766976969957
-+,860228.5,1.007490596402901
-+,1089797.5,1.0021048437703233
-+,1388237.0,0.9985785940987167
-+,1776208.0,0.996021816799678
-+,2280570.5,0.9970395353743277
-+,2936241.5,0.9981031252528734
-+,3788614.0,0.9988735692028882
-+,4896698.5,0.999103993280295
-+,6337208.5,0.9992348760428973
-+,8209871.5,0.9994732921078308
-+,10644332.5,0.9996055984856345
--,106500.0,nan
--,109950.0,1.006797224746155
--,114435.0,1.0267532856767172
--,120265.5,1.018282823256289
--,127845.0,1.03594651238112
--,137698.5,1.078288028883014
--,150508.0,1.0559157448058982
--,167160.5,1.0662199283766023
--,188808.5,1.0734998473718838
--,216951.0,1.089578953204296
--,253537.0,1.0809008514772989
--,301098.0,1.0819904069490849
--,362927.5,1.069990054552172
--,443306.0,1.0729010123417337
--,547797.5,1.0625314479574666
--,683637.0,1.0441524553242658
--,860228.5,1.0319394314268187
--,1089797.5,1.0174970472762073
--,1388237.0,1.0094277538353573
--,1776208.0,1.001834797706072
--,2280570.5,0.9993853085376544
--,2936241.5,0.9986335059559093
--,3788614.0,0.9988880158893287
--,4896698.5,0.9991326201690485
--,6337208.5,0.9993249940446514
--,8209871.5,0.9994678734480216
--,10644332.5,0.9995502092934587
