orientation,dist,peak_score
++,106500.0,nan
++,109950.0,1.2821161208249183
++,114435.0,1.2810189975803066
++,120265.5,1.273350543511119
++,127845.0,1.2614570176345472
++,137698.5,1.2578603763285847
++,150508.0,1.2367458485677987
++,167160.5,1.2911404179307535
++,188808.5,1.2910727354167384
++,216951.0,1.3021192453312596
++,253537.0,1.292139607279891
++,301098.0,1.3001165032270456
++,362927.5,1.3100265914259115
++,443306.0,1.257947684631029
++,547797.5,1.264236055014519
++,683637.0,1.2563058152845268
++,860228.5,1.2338152579156327
++,1089797.5,1.196733121111484
++,1388237.0,1.131707172196554
++,1776208.0,1.0529592163657409
++,2280570.5,0.9594690327679894
++,2936241.5,0.8585623732631712
++,3788614.0,0.7979618168474832
++,4896698.5,0.7862673484743248
++,6337208.5,0.7528260374985045
++,8209871.5,0.7640376594949813
++,10644332.5,0.773976755108827
+-,106500.0,nan
+-,109950.0,1.3060887937760501
+-,114435.0,1.3864681819171616
+-,120265.5,1.3552896447024123
+-,127845.0,1.3637201740416274
+-,137698.5,1.3422553063537497
+-,150508.0,1.3633712559727948
+-,167160.5,1.408671211325958
+-,188808.5,1.3724432803059532
+-,216951.0,1.4416578340349147
+-,253537.0,1.484585907469846
+-,301098.0,1.4495385089753232
+-,362927.5,1.4411744491297183
+-,443306.0,1.4446837497692222
+-,547797.5,1.4346618250681975
+-,683637.0,1.422747453873984
+-,860228.5,1.4070451217237017
+-,1089797.5,1.3590808253742397
+-,1388237.0,1.3301196585040924
+-,1776208.0,1.2375407639558582
+-,2280570.5,1.1183390584277364
+-,2936241.5,0.9454946786747469
+-,3788614.0,0.8377433719283388
+-,4896698.5,0.7809183881399764
+-,6337208.5,0.7746752712051537
+-,8209871.5,0.7547575303958683
+-,10644332.5,0.7661124419040307
-+,106500.0,nan
-+,109950.0,1.156363640573732
-+,114435.0,1.1799953904570744
-+,120265.5,1.187871747505881
-+,127845.0,1.1821369114331526
-+,137698.5,1.1550514054567296
-+,150508.0,1.1363735769011813
-+,167160.5,1.169789534504758
-+,188808.5,1.1808373648783939
-+,216951.0,1.201659349181087
-+,253537.0,1.1568928107437546
-+,301098.0,1.1454731017836153
-+,362927.5,1.1588471662080817
-+,443306.0,1.1453207020897596
-+,547797.5,1.134937217643032
-+,683637.0,1.091413246554523
-+,860228.5,1.0703578086363386
-+,1089797.5,1.0390214361357157
-+,1388237.0,0.9983448903043741
-+,1776208.0,0.908232371668456
-+,2280570.5,0.8590448804919227
-+,2936241.5,0.8149215808804396
-+,3788614.0,0.7964317607952804
-+,4896698.5,0.7767091210526491
-+,6337208.5,0.7338387561355482
-+,8209871.5,0.7773864313394672
-+,10644332.5,0.8176828171867646
--,106500.0,nan
--,109950.0,1.2388778300370458
--,114435.0,1.2810638542140866
--,120265.5,1.228851484295553
--,127845.0,1.2423951100910133
--,137698.5,1.3306518543842702
--,150508.0,1.2422274831460767
--,167160.5,1.2529140063457533
--,188808.5,1.2650240611993984
--,216951.0,1.313336512527774
--,253537.0,1.2871192554169801
--,301098.0,1.2962617198673878
--,362927.5,1.2667232022207406
--,443306.0,1.303386453490734
--,547797.5,1.293921364520741
--,683637.0,1.2497656715459766
--,860228.5,1.227823674183488
--,1089797.5,1.1833073762313242
--,1388237.0,1.1576716214084861
--,1776208.0,1.0600404876280916
--,2280570.5,0.973350645393886
--,2936241.5,0.8709207123850938
--,3788614.0,0.8027442073963519
--,4896698.5,0.780477623227098
--,6337208.5,0.7634516413240724
--,8209871.5,0.7685124374289306
--,10644332.5,0.7951057294435644
