orientation,dist,peak_score
++,101375.0,nan
++,105931.0,nan
++,108706.5,nan
++,112454.0,1.1945176055616022
++,117513.5,1.095006517222973
++,124343.5,1.1136923764219753
++,133563.5,1.2181615614203365
++,146011.0,1.221336797094458
++,162815.0,1.2481571191305765
++,185500.0,1.2020184254680997
++,216125.5,1.1786766594033902
++,257469.5,1.1254841997321277
++,313284.0,1.1265922370005883
++,388634.0,1.1093433390583005
++,490356.0,1.0688607225477038
++,627680.5,1.0111918923802055
++,813069.0,1.002236531697216
++,1063343.5,0.9987154654171271
++,1401213.5,0.9932374856335805
++,1857338.0,0.9939991965707753
++,2473106.5,0.9953933123737181
++,3304394.5,0.9988881496340632
++,4426633.0,0.9965233311859579
++,5941654.5,0.9966417764600279
++,7986933.5,0.9980206277229378
++,10748060.0,0.9954619170814187
+-,101375.0,nan
+-,105931.0,nan
+-,108706.5,nan
+-,112454.0,1.2424920145232907
+-,117513.5,1.2340347942060759
+-,124343.5,1.375448500162477
+-,133563.5,1.4954306773756028
+-,146011.0,1.369775588803017
+-,162815.0,1.4669193647979921
+-,185500.0,1.496649421086471
+-,216125.5,1.4291453511257894
+-,257469.5,1.3207204456629933
+-,313284.0,1.2938152298580792
+-,388634.0,1.2479550679944185
+-,490356.0,1.171601995463924
+-,627680.5,1.0723882132123417
+-,813069.0,1.0389425911955226
+-,1063343.5,1.020661925960554
+-,1401213.5,1.0017310518039872
+-,1857338.0,0.9964105729888479
+-,2473106.5,0.9967809810643169
+-,3304394.5,0.9973689650590886
+-,4426633.0,0.998312465882093
+-,5941654.5,0.996990516872752
+-,7986933.5,0.9993362776920172
+-,10748060.0,0.9973975054438478
-+,101375.0,nan
-+,105931.0,nan
-+,108706.5,nan
-+,112454.0,1.023115015237437
-+,117513.5,0.9880385976568733
-+,124343.5,1.0421947791301813
-+,133563.5,1.0634769643618056
-+,146011.0,1.0200439479847578
-+,162815.0,1.0347175454502417
-+,185500.0,1.0301736402023398
-+,216125.5,1.060776171716363
-+,257469.5,1.0534203226259184
-+,313284.0,1.0289017148648822
-+,388634.0,1.0277956959592578
-+,490356.0,0.987051283302622
-+,627680.5,0.9859793746250968
-+,813069.0,0.9876114794036592
-+,1063343.5,0.9884520213376972
-+,1401213.5,0.9885426702242168
-+,1857338.0,0.998239964198997
-+,2473106.5,0.9967804168001282
-+,3304394.5,0.9987554856577885
-+,4426633.0,0.9980146142626978
-+,5941654.5,0.9981822248776107
-+,7986933.5,0.9988401130334992
-+,10748060.0,0.9955024355060322
--,101375.0,nan
--,105931.0,nan
--,108706.5,nan
--,112454.0,1.1571737800315038
--,117513.5,1.0709097951532107
--,124343.5,1.2132865747913266
--,133563.5,1.1509502359589268
--,146011.0,1.1510972259955656
--,162815.0,1.1769795957005176
--,185500.0,1.2633216726511685
--,216125.5,1.198054302151745
--,257469.5,1.1878542616024046
--,313284.0,1.1093578251916891
--,388634.0,1.1184332474273964
--,490356.0,1.05545860860735
--,627680.5,1.0180171100965012
--,813069.0,1.00996839733256
--,1063343.5,0.99862752604778
--,1401213.5,0.9924392651900995
--,1857338.0,1.0004229460638694
--,2473106.5,0.9943206000931774
--,3304394.5,0.9973216784397895
--,4426633.0,0.997017187722432
--,5941654.5,0.9988016597637721
--,7986933.5,0.9987155217026841
--,10748060.0,0.9962558714051799
