orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.171392775486454
++,114422.0,1.1187197318135218
++,119349.0,1.032813402664164
++,125754.0,1.1309583974527682
++,134080.0,1.2253808821742944
++,144904.0,1.2049839246086125
++,158975.5,1.2526494167018785
++,177268.5,1.2085259205758052
++,201049.0,1.19866302897342
++,231963.5,1.172290424933293
++,272152.5,1.1102323766181026
++,324398.5,1.1302080431425716
++,392318.5,1.114208632096094
++,480614.0,1.0659887256392455
++,595398.5,1.0251044782419527
++,744618.5,1.0043886000173312
++,938604.0,1.0000224239733762
++,1190785.0,1.002943965462135
++,1518620.5,0.9936820957524298
++,1944807.0,0.9931679585383527
++,2498849.0,0.9938344374311321
++,3219104.0,1.0004786618708876
++,4155435.5,0.9963623052360291
++,5372666.0,0.9973331594140893
++,6955066.0,0.9973181641183411
++,9012186.0,0.9979388447283635
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.2313003159384945
+-,114422.0,1.2308822939879573
+-,119349.0,1.2078846370094383
+-,125754.0,1.392827793477841
+-,134080.0,1.494809658754419
+-,144904.0,1.356477659691417
+-,158975.5,1.4787835050855638
+-,177268.5,1.5009760545589832
+-,201049.0,1.4279544921922915
+-,231963.5,1.4039715411029177
+-,272152.5,1.3203949116298253
+-,324398.5,1.279582433946616
+-,392318.5,1.2487915244462784
+-,480614.0,1.1735359597148787
+-,595398.5,1.0990931882881065
+-,744618.5,1.0483381319405451
+-,938604.0,1.0237783848539732
+-,1190785.0,1.0125329927179112
+-,1518620.5,0.9996969069252479
+-,1944807.0,1.000468760543719
+-,2498849.0,0.9957581366039661
+-,3219104.0,0.9961737118603126
+-,4155435.5,0.9982527965235334
+-,5372666.0,0.9969326098354072
+-,6955066.0,1.0007324847437586
+-,9012186.0,0.9998679967529917
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.031664964472167
-+,114422.0,0.9882868508856517
-+,119349.0,0.9657894534422441
-+,125754.0,0.9965408648947427
-+,134080.0,1.0705365148387278
-+,144904.0,1.0053456283947055
-+,158975.5,1.0340649084579168
-+,177268.5,1.0405417181304293
-+,201049.0,1.0456096215722395
-+,231963.5,1.0749602578888549
-+,272152.5,1.028529258291135
-+,324398.5,1.0386413467206055
-+,392318.5,1.0296213975649149
-+,480614.0,0.988422574254967
-+,595398.5,0.986329533917401
-+,744618.5,0.9782075382180101
-+,938604.0,0.9932849852179011
-+,1190785.0,0.9942222395488449
-+,1518620.5,0.9901986013157681
-+,1944807.0,0.9975813835739111
-+,2498849.0,0.9952620427165512
-+,3219104.0,0.9990695456508397
-+,4155435.5,0.9980277627836499
-+,5372666.0,0.9991667266202808
-+,6955066.0,0.9986814863294861
-+,9012186.0,0.9984789246354182
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0805884621485673
--,114422.0,1.1581379925623996
--,119349.0,1.0790948046936613
--,125754.0,1.181515342361309
--,134080.0,1.1493208036843194
--,144904.0,1.158117255196732
--,158975.5,1.1538644846643458
--,177268.5,1.2769309343421613
--,201049.0,1.1706049284808089
--,231963.5,1.2181715424179564
--,272152.5,1.1431470136738906
--,324398.5,1.1156247256035465
--,392318.5,1.1056552246600906
--,480614.0,1.045081027342406
--,595398.5,1.0330107429856545
--,744618.5,1.0029343968644653
--,938604.0,1.0044247692903976
--,1190785.0,0.9923422311178506
--,1518620.5,0.9917336481415849
--,1944807.0,1.0066628283119212
--,2498849.0,0.9931897109012212
--,3219104.0,0.9965758722383595
--,4155435.5,0.9978085646932965
--,5372666.0,0.9981374799558507
--,6955066.0,1.0014274107858876
--,9012186.0,0.9970678612271205
