orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1044296593008678
++,114422.0,1.0458456482597398
++,119349.0,1.0177969142424108
++,125754.0,1.063837184215359
++,134080.0,1.1298541703246368
++,144904.0,1.128021757409822
++,158975.5,1.186701455204267
++,177268.5,1.161574968455352
++,201049.0,1.1686888643533224
++,231963.5,1.1669975564747288
++,272152.5,1.1421989600142073
++,324398.5,1.1817019742103212
++,392318.5,1.1777074972116615
++,480614.0,1.1563255530977832
++,595398.5,1.1179683503425712
++,744618.5,1.0916290977180274
++,938604.0,1.073504372715075
++,1190785.0,1.0543590828229126
++,1518620.5,1.0307476453849391
++,1944807.0,1.006351358479076
++,2498849.0,0.9957538396694833
++,3219104.0,0.9910894955761524
++,4155435.5,0.992120656845919
++,5372666.0,0.9951572974231889
++,6955066.0,0.9958398678088262
++,9012186.0,0.9952642671021246
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.0767110847739685
+-,114422.0,1.1032180310207713
+-,119349.0,1.0705900661679266
+-,125754.0,1.1640061181182682
+-,134080.0,1.2642660503133818
+-,144904.0,1.193704906978381
+-,158975.5,1.28830355136541
+-,177268.5,1.299888379717854
+-,201049.0,1.3246111922007273
+-,231963.5,1.3378197087974895
+-,272152.5,1.2622600711457845
+-,324398.5,1.2657264870465563
+-,392318.5,1.2899090648948517
+-,480614.0,1.2497232482373941
+-,595398.5,1.2117185831534818
+-,744618.5,1.1683401481581872
+-,938604.0,1.1619652282979465
+-,1190785.0,1.11165420801924
+-,1518620.5,1.065073111893337
+-,1944807.0,1.032292044603982
+-,2498849.0,1.0078506468044586
+-,3219104.0,0.998031077407838
+-,4155435.5,0.9942901974124807
+-,5372666.0,0.9956306981615686
+-,6955066.0,0.9960846761107095
+-,9012186.0,0.9965076550128399
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0271736053404739
-+,114422.0,0.9753976426971517
-+,119349.0,0.9878756483769339
-+,125754.0,0.9846656711409253
-+,134080.0,1.066256115865586
-+,144904.0,1.0260180984455527
-+,158975.5,1.0846398029442863
-+,177268.5,1.0743937606818725
-+,201049.0,1.1041265783889136
-+,231963.5,1.1282291114146534
-+,272152.5,1.1410818631712767
-+,324398.5,1.1078412728979026
-+,392318.5,1.0854234357874333
-+,480614.0,1.0623741375170332
-+,595398.5,1.0554198866642117
-+,744618.5,1.0476944709965692
-+,938604.0,1.024815696183373
-+,1190785.0,1.0218864568943302
-+,1518620.5,0.9959742264887133
-+,1944807.0,0.9862274618846266
-+,2498849.0,0.9823726363628423
-+,3219104.0,0.988087585675993
-+,4155435.5,0.9920386621717477
-+,5372666.0,0.9939953593645839
-+,6955066.0,0.9957807010398456
-+,9012186.0,0.9949633984257549
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.006955142639973
--,114422.0,1.0674302525843813
--,119349.0,0.982277918794516
--,125754.0,1.0662779842564778
--,134080.0,1.0820796790402456
--,144904.0,1.1110201728654838
--,158975.5,1.1272065686680226
--,177268.5,1.2024766863594558
--,201049.0,1.1901682360233476
--,231963.5,1.2281415535031335
--,272152.5,1.205799165906185
--,324398.5,1.1617242891112805
--,392318.5,1.1732681637029123
--,480614.0,1.1457003156766736
--,595398.5,1.1307444353979414
--,744618.5,1.1029767405588646
--,938604.0,1.0870131698657985
--,1190785.0,1.064573469756586
--,1518620.5,1.0207125396020704
--,1944807.0,1.0033545038543688
--,2498849.0,0.9964437290156936
--,3219104.0,0.991201840851912
--,4155435.5,0.9929540335407807
--,5372666.0,0.9944690452374769
--,6955066.0,0.9952807154844819
--,9012186.0,0.9967216754168992
