orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1847374576993854
++,114422.0,1.0954746174393553
++,119349.0,1.1237856270328368
++,125754.0,1.148275765662672
++,134080.0,1.1631264280754765
++,144904.0,1.1313742016152664
++,158975.5,1.1267291833724178
++,177268.5,1.1096994975249352
++,201049.0,1.182157259464785
++,231963.5,1.1697366263615283
++,272152.5,1.144505720098344
++,324398.5,1.1924926211104945
++,392318.5,1.19286202416298
++,480614.0,1.2028891564496766
++,595398.5,1.1579437663569894
++,744618.5,1.139856123286059
++,938604.0,1.1777028587558966
++,1190785.0,1.1529500079638249
++,1518620.5,1.1592170308222345
++,1944807.0,1.1479723007571299
++,2498849.0,1.1143596775219868
++,3219104.0,1.0987701922677289
++,4155435.5,1.0882571714981901
++,5372666.0,1.0088887074525257
++,6955066.0,0.9537844879140174
++,9012186.0,0.8620674969684896
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.1614192674174295
+-,114422.0,1.1459013687812574
+-,119349.0,1.1426384580105864
+-,125754.0,1.188190084740086
+-,134080.0,1.2175018332083818
+-,144904.0,1.1678525282244818
+-,158975.5,1.2142423105592979
+-,177268.5,1.2014399969754121
+-,201049.0,1.2421654813419418
+-,231963.5,1.259630025116718
+-,272152.5,1.2231829054643975
+-,324398.5,1.232266214211327
+-,392318.5,1.2479180072105558
+-,480614.0,1.266962948045942
+-,595398.5,1.2159976792147829
+-,744618.5,1.194937872032944
+-,938604.0,1.2405627012736742
+-,1190785.0,1.2324410067093472
+-,1518620.5,1.188337085733592
+-,1944807.0,1.1867280642937659
+-,2498849.0,1.1667973833485026
+-,3219104.0,1.1625661721806861
+-,4155435.5,1.1258929197715766
+-,5372666.0,1.0677524496084139
+-,6955066.0,1.015924699712003
+-,9012186.0,0.897603301900195
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.1071496524673463
-+,114422.0,1.084691285770731
-+,119349.0,1.0725835913363853
-+,125754.0,1.056722419409532
-+,134080.0,1.091277409924958
-+,144904.0,1.089167757840228
-+,158975.5,1.099900227450227
-+,177268.5,1.0876683725296232
-+,201049.0,1.1537942813534836
-+,231963.5,1.1592116766281602
-+,272152.5,1.1470969221956744
-+,324398.5,1.133861218208956
-+,392318.5,1.130003395183561
-+,480614.0,1.1372326843535652
-+,595398.5,1.1266686202088283
-+,744618.5,1.1094283356178143
-+,938604.0,1.1255280082277481
-+,1190785.0,1.1005540173940525
-+,1518620.5,1.1052699822151282
-+,1944807.0,1.0993574524437406
-+,2498849.0,1.0708028311208653
-+,3219104.0,1.0503602461846135
-+,4155435.5,1.0198330021940418
-+,5372666.0,0.9589581211517961
-+,6955066.0,0.9635828297249597
-+,9012186.0,0.8419634026073831
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.1092973672800222
--,114422.0,1.1250861797044458
--,119349.0,1.0782001248810738
--,125754.0,1.1437480495289338
--,134080.0,1.0888820429848836
--,144904.0,1.1221089486066644
--,158975.5,1.1289708108714525
--,177268.5,1.167338613611755
--,201049.0,1.196792066580616
--,231963.5,1.2005041475673714
--,272152.5,1.1809181973452125
--,324398.5,1.1595580685333429
--,392318.5,1.1960808738203519
--,480614.0,1.2023362676231055
--,595398.5,1.163988637587709
--,744618.5,1.1710688141631884
--,938604.0,1.1666728873326357
--,1190785.0,1.1598555853925743
--,1518620.5,1.1306634368814144
--,1944807.0,1.1401390140651149
--,2498849.0,1.127381531829908
--,3219104.0,1.1212619415543532
--,4155435.5,1.0694758520279575
--,5372666.0,1.0225365255567411
--,6955066.0,0.9520990895915686
--,9012186.0,0.8958160730966603
