orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1816673608966786
++,114422.0,1.086662492353682
++,119349.0,1.109673720935233
++,125754.0,1.1575227195148206
++,134080.0,1.1855970431566374
++,144904.0,1.1488859134572722
++,158975.5,1.119863622424656
++,177268.5,1.1013975711195836
++,201049.0,1.1824157861724933
++,231963.5,1.164287104735472
++,272152.5,1.1387617417925522
++,324398.5,1.1880985285852261
++,392318.5,1.1928078309290924
++,480614.0,1.1978550070488079
++,595398.5,1.1678945812330075
++,744618.5,1.146764375615926
++,938604.0,1.1865498274786273
++,1190785.0,1.149322057147874
++,1518620.5,1.1493789693249217
++,1944807.0,1.1409701239511625
++,2498849.0,1.1158916580478087
++,3219104.0,1.1047568064356839
++,4155435.5,1.0923405425265214
++,5372666.0,1.0096496432278528
++,6955066.0,0.942037562754871
++,9012186.0,0.8729991382279985
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.1694103611797684
+-,114422.0,1.150988782363197
+-,119349.0,1.1340061159279125
+-,125754.0,1.1986450545443053
+-,134080.0,1.2387209985246832
+-,144904.0,1.1742610853257924
+-,158975.5,1.2076566242871334
+-,177268.5,1.1932982963017875
+-,201049.0,1.2485016108415696
+-,231963.5,1.259017894587985
+-,272152.5,1.2176009774472418
+-,324398.5,1.2331653833536569
+-,392318.5,1.2499430019135753
+-,480614.0,1.2556721258457075
+-,595398.5,1.2176906087495076
+-,744618.5,1.1985702728875578
+-,938604.0,1.2445144084161428
+-,1190785.0,1.2257635562098022
+-,1518620.5,1.1845024481412842
+-,1944807.0,1.1782348730524408
+-,2498849.0,1.16687000832621
+-,3219104.0,1.164401794115784
+-,4155435.5,1.1207847352776987
+-,5372666.0,1.0787480892427568
+-,6955066.0,0.9912883122733405
+-,9012186.0,0.8876551432369825
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.1042701668349575
-+,114422.0,1.076307147909502
-+,119349.0,1.0624635343900146
-+,125754.0,1.0570182594054793
-+,134080.0,1.1224791835333807
-+,144904.0,1.0894254823928868
-+,158975.5,1.1049567897925896
-+,177268.5,1.087491503970964
-+,201049.0,1.1617026399666504
-+,231963.5,1.1650709852535788
-+,272152.5,1.1393395521929142
-+,324398.5,1.1252918740010094
-+,392318.5,1.1394910347156513
-+,480614.0,1.1341912311026177
-+,595398.5,1.124094921254089
-+,744618.5,1.1157152541709123
-+,938604.0,1.1297940574306191
-+,1190785.0,1.10391913020454
-+,1518620.5,1.1015976269970742
-+,1944807.0,1.0919022626426418
-+,2498849.0,1.0665316408589032
-+,3219104.0,1.0534751046950004
-+,4155435.5,1.0177340697597
-+,5372666.0,0.9564993306037954
-+,6955066.0,0.9728522217754003
-+,9012186.0,0.8570756444849871
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0937344776918427
--,114422.0,1.129292987426513
--,119349.0,1.0734923492128798
--,125754.0,1.1666466603962382
--,134080.0,1.1000352566976117
--,144904.0,1.1371256494293767
--,158975.5,1.1225053457282923
--,177268.5,1.1642300412810167
--,201049.0,1.201929923993103
--,231963.5,1.2053999432418823
--,272152.5,1.1925093196039693
--,324398.5,1.1616494892979827
--,392318.5,1.192707387058296
--,480614.0,1.2031292403090843
--,595398.5,1.1598683056794485
--,744618.5,1.1777313163733565
--,938604.0,1.1713006230674226
--,1190785.0,1.15475944728465
--,1518620.5,1.1294365027526256
--,1944807.0,1.1367719891650798
--,2498849.0,1.1255534531177191
--,3219104.0,1.1176061554067698
--,4155435.5,1.0641487459865238
--,5372666.0,1.0283284982271488
--,6955066.0,0.9444743690319887
--,9012186.0,0.8954370785645286
