orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.142919026711016
++,114422.0,1.061010167957345
++,119349.0,1.015248498983804
++,125754.0,1.0804587977976854
++,134080.0,1.182473661656267
++,144904.0,1.162702297932889
++,158975.5,1.2303691535290995
++,177268.5,1.2074183204562665
++,201049.0,1.1787472156469507
++,231963.5,1.160903985368613
++,272152.5,1.1146615759846084
++,324398.5,1.15729636548342
++,392318.5,1.152424323588117
++,480614.0,1.1358881814705417
++,595398.5,1.083217148361753
++,744618.5,1.0446846881593577
++,938604.0,1.035499674670724
++,1190785.0,1.023021835881664
++,1518620.5,1.0039410440649648
++,1944807.0,0.9995180523414635
++,2498849.0,0.9950794930262705
++,3219104.0,0.9962396150082187
++,4155435.5,0.996304402503172
++,5372666.0,0.9975657849620676
++,6955066.0,0.997846250888613
++,9012186.0,0.9967539435269783
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.1262707178820752
+-,114422.0,1.0783555351421368
+-,119349.0,1.0729360000216719
+-,125754.0,1.2547382122779815
+-,134080.0,1.3569934996595443
+-,144904.0,1.2650065067364036
+-,158975.5,1.382695823973985
+-,177268.5,1.3889187796508464
+-,201049.0,1.3503762448162326
+-,231963.5,1.3789890102063815
+-,272152.5,1.315660528516068
+-,324398.5,1.3096759690401525
+-,392318.5,1.2910077456838105
+-,480614.0,1.2328786747722837
+-,595398.5,1.1712173426031116
+-,744618.5,1.1049266076790563
+-,938604.0,1.0828693936137617
+-,1190785.0,1.0548249381907797
+-,1518620.5,1.0164485204583396
+-,1944807.0,1.0047211260504498
+-,2498849.0,0.9984141373470887
+-,3219104.0,0.9948465444042626
+-,4155435.5,0.9954681024695718
+-,5372666.0,0.9992304246227218
+-,6955066.0,0.9975148644634055
+-,9012186.0,0.9962888258697289
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9714773620408784
-+,114422.0,0.9586354116970137
-+,119349.0,0.9403360904431917
-+,125754.0,0.9878015831089483
-+,134080.0,1.0476927316393272
-+,144904.0,1.00957798984485
-+,158975.5,1.028651098307782
-+,177268.5,1.047113781484614
-+,201049.0,1.0674104966777727
-+,231963.5,1.0824010667024822
-+,272152.5,1.071300796762717
-+,324398.5,1.0592780564741766
-+,392318.5,1.046024892926538
-+,480614.0,1.0283776435013847
-+,595398.5,1.0222691505544006
-+,744618.5,1.0056873758452338
-+,938604.0,1.0039836039854657
-+,1190785.0,1.0000733442323637
-+,1518620.5,0.9934088214030772
-+,1944807.0,0.993044373854791
-+,2498849.0,0.9905703922416124
-+,3219104.0,0.9947723868637475
-+,4155435.5,0.9974052170506957
-+,5372666.0,0.99652737695984
-+,6955066.0,0.9971643592294106
-+,9012186.0,0.9974079597606446
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0500785236182533
--,114422.0,1.0934961666740848
--,119349.0,1.004211419381308
--,125754.0,1.137837848347874
--,134080.0,1.1073729902142853
--,144904.0,1.1391237117141289
--,158975.5,1.143797852544372
--,177268.5,1.191621977167466
--,201049.0,1.185560683991706
--,231963.5,1.230958496793558
--,272152.5,1.187302690134511
--,324398.5,1.1405809470735628
--,392318.5,1.1307686616288548
--,480614.0,1.0966513856246511
--,595398.5,1.0676803438659657
--,744618.5,1.0389213225898972
--,938604.0,1.0215813569238987
--,1190785.0,1.017617564140728
--,1518620.5,0.9994457418000806
--,1944807.0,0.9954669949042905
--,2498849.0,0.9939077882049805
--,3219104.0,0.9950534209655182
--,4155435.5,0.9957597103673412
--,5372666.0,0.9981237911056413
--,6955066.0,0.9979226671687463
--,9012186.0,0.9981040224267114
