orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.1965268044844628
++,114422.0,1.1019238171102923
++,119349.0,1.0595475517925932
++,125754.0,1.1362416917229383
++,134080.0,1.2164384028073914
++,144904.0,1.194305199037928
++,158975.5,1.2379746555008804
++,177268.5,1.2111736516905394
++,201049.0,1.187233532269533
++,231963.5,1.1787007879760296
++,272152.5,1.141400210799075
++,324398.5,1.1549406121416943
++,392318.5,1.1506944705174633
++,480614.0,1.1008141738100368
++,595398.5,1.0342895771776268
++,744618.5,1.0215335863532453
++,938604.0,1.0121895872533697
++,1190785.0,0.996768487928211
++,1518620.5,0.9922235866202186
++,1944807.0,0.9949775289023677
++,2498849.0,0.9945173182299581
++,3219104.0,0.9918192234134874
++,4155435.5,0.9958660811667466
++,5372666.0,0.9977822410962099
++,6955066.0,0.9985794979318512
++,9012186.0,0.9977312890020612
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.18942162973758
+-,114422.0,1.173606907271672
+-,119349.0,1.1842185331823558
+-,125754.0,1.3352197692998407
+-,134080.0,1.4242396787384202
+-,144904.0,1.3204290279256803
+-,158975.5,1.4186588397446718
+-,177268.5,1.4332955432984835
+-,201049.0,1.3896068225269504
+-,231963.5,1.3925770459753317
+-,272152.5,1.3124692464734027
+-,324398.5,1.2975641051931004
+-,392318.5,1.2752087066810545
+-,480614.0,1.2063971185470037
+-,595398.5,1.1126273422318471
+-,744618.5,1.0682428694147204
+-,938604.0,1.0423596516199551
+-,1190785.0,1.0083107905112176
+-,1518620.5,1.0007084826186174
+-,1944807.0,0.9982738024457433
+-,2498849.0,0.9947672995606064
+-,3219104.0,0.994481071823082
+-,4155435.5,0.9964038765049608
+-,5372666.0,0.9985149846563951
+-,6955066.0,0.9983661152075956
+-,9012186.0,0.9966080838664061
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0122261349929427
-+,114422.0,0.960235612351575
-+,119349.0,0.9797952521001217
-+,125754.0,1.0140958458113745
-+,134080.0,1.0929253257178546
-+,144904.0,1.0222382304611353
-+,158975.5,1.0409122720617618
-+,177268.5,1.0389601732890306
-+,201049.0,1.0547080371103545
-+,231963.5,1.098315339592303
-+,272152.5,1.074940159240604
-+,324398.5,1.0516769157249715
-+,392318.5,1.0337775748441687
-+,480614.0,1.0048162577511042
-+,595398.5,0.9776865773975475
-+,744618.5,0.9921180564747789
-+,938604.0,0.9868560054989266
-+,1190785.0,0.9857647258583102
-+,1518620.5,0.987784018904595
-+,1944807.0,0.9934034772285251
-+,2498849.0,0.9934923780569103
-+,3219104.0,0.994045246496786
-+,4155435.5,0.9957579854121184
-+,5372666.0,0.9967061978400105
-+,6955066.0,0.9987627053815819
-+,9012186.0,0.9965252022815847
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0592647877139278
--,114422.0,1.1370880545615876
--,119349.0,1.0505894669608096
--,125754.0,1.1455840508477055
--,134080.0,1.1561009439019316
--,144904.0,1.1652091748105238
--,158975.5,1.1498087298150814
--,177268.5,1.2352993592509753
--,201049.0,1.1887000899126265
--,231963.5,1.246488538352148
--,272152.5,1.1755980576330485
--,324398.5,1.1428202917099994
--,392318.5,1.1275865099614866
--,480614.0,1.079722784905033
--,595398.5,1.0287407543365887
--,744618.5,1.0171931643439747
--,938604.0,1.0041650520377723
--,1190785.0,0.9932202541129899
--,1518620.5,0.9952341742167133
--,1944807.0,0.9943859876753688
--,2498849.0,0.9939918049077192
--,3219104.0,0.9948376891925353
--,4155435.5,0.9960349103982364
--,5372666.0,0.9964248899339312
--,6955066.0,0.9979734621900866
--,9012186.0,0.9968900876070133
