orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.289514551561937
++,114422.0,1.1882526548760353
++,119349.0,1.1339830110518283
++,125754.0,1.208575164281338
++,134080.0,1.2815057324197126
++,144904.0,1.2415129371626008
++,158975.5,1.277609862126177
++,177268.5,1.2448886345091579
++,201049.0,1.2144901061971403
++,231963.5,1.2069890450238592
++,272152.5,1.1746111927954708
++,324398.5,1.2004828850439768
++,392318.5,1.2116569990120623
++,480614.0,1.1642475446979763
++,595398.5,1.0669071858789034
++,744618.5,1.0512928477305696
++,938604.0,1.0421419162621677
++,1190785.0,0.9933166693504987
++,1518620.5,0.9668261080571837
++,1944807.0,0.9666850528176598
++,2498849.0,0.9471199337017704
++,3219104.0,0.902202219593796
++,4155435.5,0.9348153440083584
++,5372666.0,0.9550992244717651
++,6955066.0,0.9667954496237994
++,9012186.0,0.9392052567934724
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.2912046359730494
+-,114422.0,1.2760081117458437
+-,119349.0,1.289677686069013
+-,125754.0,1.4619954095628316
+-,134080.0,1.5397289837602597
+-,144904.0,1.395431151627047
+-,158975.5,1.4878765546542505
+-,177268.5,1.5051523346166082
+-,201049.0,1.4483295173614392
+-,231963.5,1.4625893865956971
+-,272152.5,1.3834662709218262
+-,324398.5,1.3887684137316563
+-,392318.5,1.3786932782187837
+-,480614.0,1.317467258453729
+-,595398.5,1.1999698849581917
+-,744618.5,1.1490191153447236
+-,938604.0,1.1205037407425587
+-,1190785.0,1.0315945813659244
+-,1518620.5,1.0077614690496883
+-,1944807.0,0.9916548480602697
+-,2498849.0,0.9524267031354107
+-,3219104.0,0.9336864769084172
+-,4155435.5,0.9447162734174029
+-,5372666.0,0.9718567281639436
+-,6955066.0,0.961410777847107
+-,9012186.0,0.9067136179087791
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0811682208193059
-+,114422.0,1.0050359643921707
-+,119349.0,1.0273256332524188
-+,125754.0,1.0551720776552607
-+,134080.0,1.1305869154582493
-+,144904.0,1.0339985505452987
-+,158975.5,1.0446125182711838
-+,177268.5,1.0377824992136224
-+,201049.0,1.058000108965247
-+,231963.5,1.110409362863867
-+,272152.5,1.0875350943461655
-+,324398.5,1.066390435149719
-+,392318.5,1.0480226992233828
-+,480614.0,1.010850976279434
-+,595398.5,0.9635167787068852
-+,744618.5,0.9921233393715443
-+,938604.0,0.9660340433990245
-+,1190785.0,0.9510255339413553
-+,1518620.5,0.9403989435065111
-+,1944807.0,0.9537106688496453
-+,2498849.0,0.9362005234785198
-+,3219104.0,0.9248564777168816
-+,4155435.5,0.9310831969915523
-+,5372666.0,0.936934889184922
-+,6955066.0,0.9705307831059192
-+,9012186.0,0.9087840267679259
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.1537783714785148
--,114422.0,1.2085068467617162
--,119349.0,1.1304395040712771
--,125754.0,1.2116747544033153
--,134080.0,1.208791239241766
--,144904.0,1.1986444726696024
--,158975.5,1.1752347800081262
--,177268.5,1.2747832801574728
--,201049.0,1.2142024316905147
--,231963.5,1.2905168219140188
--,272152.5,1.2116793513256274
--,324398.5,1.188869917447928
--,392318.5,1.1780618709738435
--,480614.0,1.1240110130040528
--,595398.5,1.0583602185134628
--,744618.5,1.0488136182071
--,938604.0,1.0188783680214086
--,1190785.0,0.9802795506159406
--,1518620.5,0.9786614984415726
--,1944807.0,0.967203073338907
--,2498849.0,0.9420064667956615
--,3219104.0,0.9381291786659862
--,4155435.5,0.9357498677824246
--,5372666.0,0.930694091245883
--,6955066.0,0.9513228460532814
--,9012186.0,0.9182262726563921
