orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.2818276993810944
++,114422.0,1.2083030317099146
++,119349.0,1.1797062848104594
++,125754.0,1.1801563457811264
++,134080.0,1.2745059781532218
++,144904.0,1.2959553247225957
++,158975.5,1.2809442108255416
++,177268.5,1.262210003852265
++,201049.0,1.1973551690460833
++,231963.5,1.1828468246535642
++,272152.5,1.1252544627517056
++,324398.5,1.1335415804813358
++,392318.5,1.0740908480512807
++,480614.0,1.0475119687204335
++,595398.5,1.0045788248928613
++,744618.5,0.992835573358088
++,938604.0,0.9850560602762108
++,1190785.0,0.9946861633413955
++,1518620.5,0.9943417037428294
++,1944807.0,0.9959877140463953
++,2498849.0,0.9986306222939543
++,3219104.0,0.9956083988135475
++,4155435.5,0.9960876446706053
++,5372666.0,0.9996958038664854
++,6955066.0,0.9977678522425317
++,9012186.0,0.9974325072645456
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.3771701763951876
+-,114422.0,1.296520116704934
+-,119349.0,1.3084984277678542
+-,125754.0,1.4348336163698698
+-,134080.0,1.5373418940281374
+-,144904.0,1.405085483349096
+-,158975.5,1.4139324683174799
+-,177268.5,1.468468125381436
+-,201049.0,1.4002357771099025
+-,231963.5,1.4089773222230728
+-,272152.5,1.307835499615686
+-,324398.5,1.2386276012945663
+-,392318.5,1.1868229612426788
+-,480614.0,1.1242721008160845
+-,595398.5,1.046842741250615
+-,744618.5,1.0157220891591074
+-,938604.0,0.9927959706782394
+-,1190785.0,0.9925080786042672
+-,1518620.5,0.9937357682074042
+-,1944807.0,0.9947852876975716
+-,2498849.0,0.9950931678383353
+-,3219104.0,0.9972388546158676
+-,4155435.5,0.9954881822158061
+-,5372666.0,0.9990035802936739
+-,6955066.0,0.9984026098332139
+-,9012186.0,0.9979889401597433
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.1398575092064536
-+,114422.0,1.0936948949353231
-+,119349.0,1.0787189228671896
-+,125754.0,1.094867434210142
-+,134080.0,1.1673141853336844
-+,144904.0,1.0779474975768464
-+,158975.5,1.110122177354951
-+,177268.5,1.0698205780697392
-+,201049.0,1.0850365195488814
-+,231963.5,1.0692107769855772
-+,272152.5,1.0763233566713786
-+,324398.5,1.0273315892930157
-+,392318.5,1.0037639544057286
-+,480614.0,0.9791483668143608
-+,595398.5,0.9638512402931179
-+,744618.5,0.9758340132262
-+,938604.0,0.9770026747719833
-+,1190785.0,0.9872214266680456
-+,1518620.5,0.9904534686340496
-+,1944807.0,0.9898979754948689
-+,2498849.0,0.9961163821455424
-+,3219104.0,0.9976561070570633
-+,4155435.5,0.9970961765144057
-+,5372666.0,0.998662337181659
-+,6955066.0,0.9987261395398181
-+,9012186.0,0.9973512091315923
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.2396774788890992
--,114422.0,1.2550708783427493
--,119349.0,1.1664775701885466
--,125754.0,1.3031634796528961
--,134080.0,1.2454448466836339
--,144904.0,1.265241118238975
--,158975.5,1.2103524990944434
--,177268.5,1.2445818276709764
--,201049.0,1.2064634420539466
--,231963.5,1.2571030615185632
--,272152.5,1.1995041870135474
--,324398.5,1.110324255289071
--,392318.5,1.0775842246376806
--,480614.0,1.027243204689798
--,595398.5,0.9971275127516923
--,744618.5,0.9975572295608428
--,938604.0,0.9820530721091019
--,1190785.0,0.9837000530860407
--,1518620.5,0.9869197931612963
--,1944807.0,0.9897725349794447
--,2498849.0,0.9941020258408928
--,3219104.0,0.998014964395628
--,4155435.5,0.9970815831928453
--,5372666.0,0.9976075108641361
--,6955066.0,0.998406076157103
--,9012186.0,0.9975613302990709
