orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.0710497936812071
++,114422.0,1.0531116304583201
++,119349.0,0.9749704467515029
++,125754.0,0.9866875802285335
++,134080.0,1.0483949246548876
++,144904.0,1.1344776881476912
++,158975.5,1.1515380459158178
++,177268.5,1.1694344773774128
++,201049.0,1.174422297521692
++,231963.5,1.2115841411051418
++,272152.5,1.1391778858385722
++,324398.5,1.2184577873362166
++,392318.5,1.2617156574981196
++,480614.0,1.2300530298707133
++,595398.5,1.1688908441085648
++,744618.5,1.1718235657960183
++,938604.0,1.1370824876207302
++,1190785.0,1.100596804900474
++,1518620.5,1.0722883893651882
++,1944807.0,1.028746375727014
++,2498849.0,1.008831479122487
++,3219104.0,0.995681763932466
++,4155435.5,0.9938832901507526
++,5372666.0,0.9959475205737667
++,6955066.0,0.9963477858506371
++,9012186.0,0.9949764686049539
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,0.9861693174257465
+-,114422.0,0.9847494912211486
+-,119349.0,0.9439015012336524
+-,125754.0,1.0280658251573556
+-,134080.0,1.173252678247365
+-,144904.0,1.1562344129997273
+-,158975.5,1.2891743409459298
+-,177268.5,1.2786310052212266
+-,201049.0,1.3091025466837356
+-,231963.5,1.292051593444888
+-,272152.5,1.2903201727606417
+-,324398.5,1.3267367615739007
+-,392318.5,1.3436896698384748
+-,480614.0,1.3635542623991788
+-,595398.5,1.282942425093848
+-,744618.5,1.2582118671266875
+-,938604.0,1.2719497303197254
+-,1190785.0,1.2136641572574325
+-,1518620.5,1.155737290018556
+-,1944807.0,1.093779053748095
+-,2498849.0,1.0396055257801904
+-,3219104.0,1.015332176057835
+-,4155435.5,0.9960713522360678
+-,5372666.0,0.9967730790249439
+-,6955066.0,0.9988923884601488
+-,9012186.0,0.9946292520594644
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9485338132930379
-+,114422.0,0.9648849909247961
-+,119349.0,0.9252485438086628
-+,125754.0,0.9133454871808092
-+,134080.0,1.024351027706128
-+,144904.0,1.0108763528617146
-+,158975.5,1.02962498559253
-+,177268.5,1.0583207978329239
-+,201049.0,1.1368087635987283
-+,231963.5,1.1322449158862384
-+,272152.5,1.129414255540085
-+,324398.5,1.1081920787954296
-+,392318.5,1.1392318152023866
-+,480614.0,1.118281730999462
-+,595398.5,1.0888387981797536
-+,744618.5,1.068302121846826
-+,938604.0,1.0513591463704866
-+,1190785.0,1.0207652079922556
-+,1518620.5,1.0022550115427533
-+,1944807.0,0.9842033949429174
-+,2498849.0,0.9851804654280233
-+,3219104.0,0.984769620525166
-+,4155435.5,0.9925751188333864
-+,5372666.0,0.9927856054843345
-+,6955066.0,0.9963384023902035
-+,9012186.0,0.9961631347851154
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.9040350459263972
--,114422.0,0.9803719569207173
--,119349.0,0.9224031371815349
--,125754.0,1.028027814014087
--,134080.0,1.0349446832969975
--,144904.0,1.1207669830291613
--,158975.5,1.1255626746994856
--,177268.5,1.1616777819703694
--,201049.0,1.2262636830672
--,231963.5,1.2207819505747017
--,272152.5,1.2374251946847632
--,324398.5,1.1996251126502417
--,392318.5,1.2193431555196228
--,480614.0,1.2213362724975267
--,595398.5,1.1788121824587758
--,744618.5,1.1610695996562646
--,938604.0,1.1467675692294659
--,1190785.0,1.1194696218295423
--,1518620.5,1.0780790842532482
--,1944807.0,1.032164898459907
--,2498849.0,1.0092442036904925
--,3219104.0,0.9988356430710851
--,4155435.5,0.9908774222750161
--,5372666.0,0.9938486507888338
--,6955066.0,0.9973799304652569
--,9012186.0,0.9954260704072383
