orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.3180170685811674
++,114422.0,1.2872825411700903
++,119349.0,1.1910655470571399
++,125754.0,1.184848497191319
++,134080.0,1.18953736891277
++,144904.0,1.2673242006581205
++,158975.5,1.2615693968204542
++,177268.5,1.26472552027395
++,201049.0,1.2471270166269441
++,231963.5,1.2896032212496586
++,272152.5,1.1944074074642508
++,324398.5,1.2878616634052689
++,392318.5,1.3450685365539647
++,480614.0,1.3188427785094907
++,595398.5,1.2414621632667173
++,744618.5,1.2592272232662451
++,938604.0,1.2283041139518933
++,1190785.0,1.1930132062656156
++,1518620.5,1.1798786249926496
++,1944807.0,1.1052056632429499
++,2498849.0,1.0446495573152867
++,3219104.0,0.9617486448486783
++,4155435.5,0.9001125631479533
++,5372666.0,0.8938695002125961
++,6955066.0,0.8735314255741569
++,9012186.0,0.7815321870872332
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,1.1919582924374699
+-,114422.0,1.210930863588974
+-,119349.0,1.1565157843651201
+-,125754.0,1.2613648156712272
+-,134080.0,1.368695278252208
+-,144904.0,1.2986143977373523
+-,158975.5,1.437477885421836
+-,177268.5,1.4037196155343583
+-,201049.0,1.4106968308472656
+-,231963.5,1.389092385073826
+-,272152.5,1.3851897450530792
+-,324398.5,1.425493910878563
+-,392318.5,1.4481228757308697
+-,480614.0,1.4952408329965636
+-,595398.5,1.3970969283980206
+-,744618.5,1.383313145360021
+-,938604.0,1.438829527055241
+-,1190785.0,1.3957625107906444
+-,1518620.5,1.355774289633012
+-,1944807.0,1.2930000146119234
+-,2498849.0,1.197825542560726
+-,3219104.0,1.1439527540448249
+-,4155435.5,0.9338388687396187
+-,5372666.0,0.9208060238177573
+-,6955066.0,0.9680912068286793
+-,9012186.0,0.7725805656828992
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.1467266376519887
-+,114422.0,1.1635461337475572
-+,119349.0,1.1133027763382881
-+,125754.0,1.0767995563089254
-+,134080.0,1.1582943124116274
-+,144904.0,1.1068788352858872
-+,158975.5,1.103657192521713
-+,177268.5,1.1277859819782359
-+,201049.0,1.2025785286256938
-+,231963.5,1.1902106697369903
-+,272152.5,1.1801545002980958
-+,324398.5,1.147801413030545
-+,392318.5,1.1859193362597735
-+,480614.0,1.1642024531929565
-+,595398.5,1.1281968158885696
-+,744618.5,1.1039268629748344
-+,938604.0,1.08929284272394
-+,1190785.0,1.0451123075288364
-+,1518620.5,1.0141997849176034
-+,1944807.0,0.9552350926340549
-+,2498849.0,0.9151803252117418
-+,3219104.0,0.8468180708936769
-+,4155435.5,0.8702765681262737
-+,5372666.0,0.8111354338067593
-+,6955066.0,0.8654162629279136
-+,9012186.0,0.8358443678953034
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.087958946365245
--,114422.0,1.1756692999496614
--,119349.0,1.136056303890792
--,125754.0,1.2343356262414553
--,134080.0,1.1773841215981564
--,144904.0,1.2408707147419462
--,158975.5,1.2319406402091855
--,177268.5,1.2585788855774347
--,201049.0,1.3132226792796078
--,231963.5,1.3008046637318271
--,272152.5,1.3182545175625786
--,324398.5,1.2656817557088773
--,392318.5,1.288349914181791
--,480614.0,1.301645243170165
--,595398.5,1.2551329012854566
--,744618.5,1.2433231465063328
--,938604.0,1.2467338944788704
--,1190785.0,1.2327377457155815
--,1518620.5,1.1864915752472305
--,1944807.0,1.1165157982628096
--,2498849.0,1.0517219020221704
--,3219104.0,0.9962751724034732
--,4155435.5,0.8469400524509235
--,5372666.0,0.8570985141533776
--,6955066.0,0.9074477496852129
--,9012186.0,0.8100131765949412
