orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.3885619299460856
++,114422.0,1.3735825925140703
++,119349.0,1.3021852360994561
++,125754.0,1.4182498951364424
++,134080.0,1.6568524466704344
++,144904.0,1.4601360188821424
++,158975.5,1.0937427836850362
++,177268.5,1.1688719346677137
++,201049.0,1.1389416410726423
++,231963.5,1.3057086443547261
++,272152.5,1.041132702944763
++,324398.5,1.4175819306727269
++,392318.5,1.2087131610012132
++,480614.0,1.0728186402852196
++,595398.5,1.2026980254265707
++,744618.5,0.9378090724162724
++,938604.0,0.9214294048324216
++,1190785.0,0.9573086824529915
++,1518620.5,1.014919329807793
++,1944807.0,0.9715161707852086
++,2498849.0,0.9848056936590635
++,3219104.0,0.991536045161329
++,4155435.5,0.9914970215903053
++,5372666.0,0.9316081906784539
++,6955066.0,0.9402777571442036
++,9012186.0,1.0436650506118677
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.4121793504914142
+-,119349.0,1.3347046271023186
+-,125754.0,1.8650361155531372
+-,134080.0,1.861055414910342
+-,144904.0,1.7181198883276445
+-,158975.5,1.6693858543217939
+-,177268.5,1.7914276199112915
+-,201049.0,1.7884151161144444
+-,231963.5,2.028006026662391
+-,272152.5,1.5217078532449406
+-,324398.5,1.560951538561729
+-,392318.5,1.359215067404479
+-,480614.0,1.3268104881364018
+-,595398.5,1.2030665528636375
+-,744618.5,1.1387038988043097
+-,938604.0,0.9965855107366328
+-,1190785.0,1.0199624614339857
+-,1518620.5,0.9806924592286161
+-,1944807.0,1.0989059435094333
+-,2498849.0,0.9281806112134593
+-,3219104.0,1.0314208480563873
+-,4155435.5,0.9867979627304244
+-,5372666.0,0.9892764392363181
+-,6955066.0,1.044507802942927
+-,9012186.0,1.0021609096927944
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.4993659141679638
-+,114422.0,1.499028111697953
-+,119349.0,1.0217327259189282
-+,125754.0,1.1585632395649497
-+,134080.0,1.063223176132905
-+,144904.0,0.8617586219288852
-+,158975.5,0.9866759620668498
-+,177268.5,1.0813367332104358
-+,201049.0,1.1004106137265623
-+,231963.5,1.1023394990699076
-+,272152.5,1.0008651566649998
-+,324398.5,1.2323359008825014
-+,392318.5,0.9138444798685634
-+,480614.0,0.9104407730506081
-+,595398.5,1.0501520187521536
-+,744618.5,0.9464246462784494
-+,938604.0,1.023142707248523
-+,1190785.0,0.9403542103917064
-+,1518620.5,0.8916679580196387
-+,1944807.0,1.058225013681635
-+,2498849.0,1.0539636196790607
-+,3219104.0,1.0190764959032528
-+,4155435.5,0.9167046773855735
-+,5372666.0,1.112367362346273
-+,6955066.0,0.9457732575903924
-+,9012186.0,0.918733052432019
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.9294441337892612
--,114422.0,2.2150914565016393
--,119349.0,1.2865849532613622
--,125754.0,1.5476418095701674
--,134080.0,1.1431245751523054
--,144904.0,1.3202921840348387
--,158975.5,1.167149480530626
--,177268.5,1.3103352051804502
--,201049.0,1.3134887345679884
--,231963.5,1.3984712605180714
--,272152.5,1.1780052358837487
--,324398.5,1.0751300017234033
--,392318.5,1.22008664932135
--,480614.0,1.1049696629894536
--,595398.5,1.1118794083890169
--,744618.5,1.0896950575822073
--,938604.0,1.0985968472285634
--,1190785.0,1.069922854401353
--,1518620.5,0.9439418793018599
--,1944807.0,1.0933007560284036
--,2498849.0,0.9980109628809544
--,3219104.0,1.0508971598841919
--,4155435.5,0.9919561022327394
--,5372666.0,1.1024759662392254
--,6955066.0,0.9232531843117688
--,9012186.0,0.7886711277256029
