orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.8974555188505204
++,114422.0,0.9499191272230956
++,119349.0,0.9297496550841815
++,125754.0,0.9344242014595618
++,134080.0,1.025061869551636
++,144904.0,1.0292029420861637
++,158975.5,1.0045810389492396
++,177268.5,0.9939932800094629
++,201049.0,1.0369663485482319
++,231963.5,1.0502980560599164
++,272152.5,1.0550599232383653
++,324398.5,1.0907210628492094
++,392318.5,1.0819717262697113
++,480614.0,1.039326725236501
++,595398.5,1.0271607871929465
++,744618.5,1.0241290604941398
++,938604.0,1.0183096747253502
++,1190785.0,1.0140697157897127
++,1518620.5,1.0043406149828746
++,1944807.0,1.0021608634776653
++,2498849.0,0.9994270866736343
++,3219104.0,0.9995614010058202
++,4155435.5,0.9994074384282351
++,5372666.0,0.9995874444929445
++,6955066.0,0.9993702471720267
++,9012186.0,0.9998088771472687
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,0.9050629524798297
+-,119349.0,0.9341389399933377
+-,125754.0,0.9700971544217816
+-,134080.0,1.0600204439310332
+-,144904.0,1.0323888873869642
+-,158975.5,1.079407106660474
+-,177268.5,1.0569961846222422
+-,201049.0,1.084099764523942
+-,231963.5,1.1209151701544702
+-,272152.5,1.0784418983378565
+-,324398.5,1.0816798242010688
+-,392318.5,1.074158735305057
+-,480614.0,1.0928269055774464
+-,595398.5,1.0692795452442474
+-,744618.5,1.048411983188252
+-,938604.0,1.0462809618193392
+-,1190785.0,1.0244978377379308
+-,1518620.5,1.0122217577017953
+-,1944807.0,1.0068898087968847
+-,2498849.0,0.9991578394076762
+-,3219104.0,0.9993809603404729
+-,4155435.5,0.9992925325190781
+-,5372666.0,0.999262151187291
+-,6955066.0,0.9995200789607752
+-,9012186.0,0.9995728061572556
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0175920711362927
-+,114422.0,0.9466425206459745
-+,119349.0,0.8814842783331691
-+,125754.0,0.9259616882655674
-+,134080.0,0.9215820651165336
-+,144904.0,0.9739700185722483
-+,158975.5,1.0003597068241532
-+,177268.5,1.0028155659566855
-+,201049.0,1.0527794063448688
-+,231963.5,1.0364233977415793
-+,272152.5,1.0325495465983652
-+,324398.5,1.0788418898097258
-+,392318.5,1.0107354648237357
-+,480614.0,1.0276417646873202
-+,595398.5,1.034289007348909
-+,744618.5,1.012937169637997
-+,938604.0,1.0082427350167928
-+,1190785.0,1.0042612272416966
-+,1518620.5,0.999831860130459
-+,1944807.0,0.9975478224693006
-+,2498849.0,0.9989105679628935
-+,3219104.0,0.9998766021867712
-+,4155435.5,0.9992344991571719
-+,5372666.0,0.9994832302562855
-+,6955066.0,0.9995516471971075
-+,9012186.0,0.9995103355627624
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.854038344161081
--,114422.0,1.0344922472930085
--,119349.0,0.9229560535504057
--,125754.0,1.0132738975778304
--,134080.0,0.9325919923276849
--,144904.0,0.9798900424356444
--,158975.5,1.0173691351266294
--,177268.5,1.0300692583985929
--,201049.0,1.062406093647255
--,231963.5,1.0448309160816538
--,272152.5,1.0690252326108307
--,324398.5,1.0660535563541325
--,392318.5,1.0620797411055627
--,480614.0,1.0654826354969973
--,595398.5,1.0530611097991904
--,744618.5,1.034377755222101
--,938604.0,1.029116006436052
--,1190785.0,1.0082505493484293
--,1518620.5,1.0010883826914512
--,1944807.0,1.0001240969519212
--,2498849.0,0.9993068926716936
--,3219104.0,0.9994931326105252
--,4155435.5,0.9991733066166144
--,5372666.0,0.9995396411529313
--,6955066.0,0.9997168039367275
--,9012186.0,0.9994315438590737
