orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.3878063216739558
++,114422.0,1.1122265263489488
++,119349.0,1.157565769091075
++,125754.0,1.2920919856503472
++,134080.0,1.32313918865164
++,144904.0,1.2798467379917993
++,158975.5,1.1841618756706267
++,177268.5,1.0321784060919277
++,201049.0,1.2484341849338476
++,231963.5,1.2729942892394877
++,272152.5,1.2400629812706898
++,324398.5,1.3495492433012468
++,392318.5,1.391721566484728
++,480614.0,1.2042633848289572
++,595398.5,1.193705551735893
++,744618.5,1.176574933682267
++,938604.0,1.260161861436614
++,1190785.0,1.2195622393977554
++,1518620.5,1.203875860385828
++,1944807.0,1.1876096730848773
++,2498849.0,1.2102402041044107
++,3219104.0,1.100532200870325
++,4155435.5,1.1614031494152868
++,5372666.0,1.0433953445923136
++,6955066.0,0.9823828494670515
++,9012186.0,0.9099601231145239
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.4269219471335475
+-,119349.0,1.1430313030643062
+-,125754.0,1.2626550286451779
+-,134080.0,1.3531618276890183
+-,144904.0,1.0988678825963727
+-,158975.5,1.2584578115365932
+-,177268.5,1.2171137616864325
+-,201049.0,1.3744840486675869
+-,231963.5,1.5225491251184793
+-,272152.5,1.3130608020494074
+-,324398.5,1.4024192006278653
+-,392318.5,1.3089402076315806
+-,480614.0,1.4066001386303784
+-,595398.5,1.276464544619049
+-,744618.5,1.2758578536770633
+-,938604.0,1.3191588392563725
+-,1190785.0,1.3190641759445192
+-,1518620.5,1.349110069882935
+-,1944807.0,1.3295249723503122
+-,2498849.0,1.2281519932831662
+-,3219104.0,1.1861791832162707
+-,4155435.5,1.177972160434888
+-,5372666.0,1.13384569584464
+-,6955066.0,0.9964181611155518
+-,9012186.0,0.852834158878392
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.3319632557887942
-+,114422.0,1.2572270372202177
-+,119349.0,1.0895172959073978
-+,125754.0,1.1784018549323418
-+,134080.0,1.103832914236553
-+,144904.0,1.1413930858949626
-+,158975.5,1.2334624231956197
-+,177268.5,1.183593296181178
-+,201049.0,1.2614862195705028
-+,231963.5,1.2056253263259566
-+,272152.5,1.2274931968617875
-+,324398.5,1.3230623958370469
-+,392318.5,1.0913464130264436
-+,480614.0,1.2050914193075415
-+,595398.5,1.1930819077980397
-+,744618.5,1.1491980911347588
-+,938604.0,1.1593297161137537
-+,1190785.0,1.1389706842799447
-+,1518620.5,1.1649746503327627
-+,1944807.0,1.1364867171071378
-+,2498849.0,1.1111248070165123
-+,3219104.0,1.0732238835232581
-+,4155435.5,1.04176358334134
-+,5372666.0,0.8893435092325443
-+,6955066.0,0.9419373393718078
-+,9012186.0,0.7778358399165871
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0914976328338981
--,114422.0,1.5452085022866857
--,119349.0,1.1119053959774234
--,125754.0,1.207758965296909
--,134080.0,0.9447010508425908
--,144904.0,1.086138590655743
--,158975.5,1.0063874516803015
--,177268.5,1.197284194721854
--,201049.0,1.2969446699480134
--,231963.5,1.3160016666538763
--,272152.5,1.2536542982004828
--,324398.5,1.261362835228086
--,392318.5,1.2590403834236221
--,480614.0,1.2658438712045477
--,595398.5,1.1944159464773385
--,744618.5,1.2539581165113494
--,938604.0,1.2483410002115607
--,1190785.0,1.2085118195518576
--,1518620.5,1.151186393224096
--,1944807.0,1.1449008832841265
--,2498849.0,1.2493611303841523
--,3219104.0,1.0918900714223319
--,4155435.5,1.0757617730493765
--,5372666.0,1.021951834583278
--,6955066.0,0.9943629447355726
--,9012186.0,0.6875416742741893
