orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9302485157597644
++,114422.0,0.879913353316327
++,119349.0,0.9329289061997192
++,125754.0,0.9828752270733292
++,134080.0,1.0082003495836127
++,144904.0,1.020799298352209
++,158975.5,1.0013859411871624
++,177268.5,0.9793413816589929
++,201049.0,1.0555725108731873
++,231963.5,1.0419864172508386
++,272152.5,1.0336176484712052
++,324398.5,1.0609196326538086
++,392318.5,1.0680139537634998
++,480614.0,1.0344172038612667
++,595398.5,1.035000968526402
++,744618.5,1.0294842449892663
++,938604.0,1.03753752305087
++,1190785.0,1.0237333113469067
++,1518620.5,1.0163600856284507
++,1944807.0,1.012538184538174
++,2498849.0,1.0100091762206747
++,3219104.0,1.001908577516637
++,4155435.5,1.002806024774182
++,5372666.0,0.9999415822399189
++,6955066.0,1.0001169775767011
++,9012186.0,0.9997282664591253
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,0.9341892603646504
+-,119349.0,0.9056460172927329
+-,125754.0,0.9503166801106382
+-,134080.0,1.0285003440853888
+-,144904.0,0.9891575003011612
+-,158975.5,1.0306097100473997
+-,177268.5,1.0240242505315047
+-,201049.0,1.0786422517514616
+-,231963.5,1.1099706787735226
+-,272152.5,1.0629690354708516
+-,324398.5,1.0740641988978386
+-,392318.5,1.0526640265395648
+-,480614.0,1.0702961341436938
+-,595398.5,1.048262589072362
+-,744618.5,1.0431922649390635
+-,938604.0,1.042908945874534
+-,1190785.0,1.0397086278270262
+-,1518620.5,1.0361593795697845
+-,1944807.0,1.021706140735478
+-,2498849.0,1.0112328323542765
+-,3219104.0,1.0069704071505645
+-,4155435.5,1.0031236996319146
+-,5372666.0,1.0010355489672933
+-,6955066.0,0.9999002490653353
+-,9012186.0,0.9997264349092647
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,0.9248898503996171
-+,114422.0,0.9177432440286714
-+,119349.0,0.8858299194600169
-+,125754.0,0.9298857819097638
-+,134080.0,0.954039119169116
-+,144904.0,0.9915447993876438
-+,158975.5,1.0214790426253906
-+,177268.5,1.0200859329252097
-+,201049.0,1.0476125226817694
-+,231963.5,1.0346509271169242
-+,272152.5,1.0348342925258607
-+,324398.5,1.052001523644658
-+,392318.5,1.016968990942925
-+,480614.0,1.0331929734985148
-+,595398.5,1.0328121369614967
-+,744618.5,1.0229457194071114
-+,938604.0,1.022956291218078
-+,1190785.0,1.01552189795337
-+,1518620.5,1.0124354708636014
-+,1944807.0,1.0075184291631372
-+,2498849.0,1.004909397700785
-+,3219104.0,1.002486784986729
-+,4155435.5,1.0007419235016897
-+,5372666.0,0.9987689640747694
-+,6955066.0,1.0000744871830545
-+,9012186.0,0.9994271551266869
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.8629991485417721
--,114422.0,0.9686470191192235
--,119349.0,0.912530322806212
--,125754.0,0.9765940570772086
--,134080.0,0.9075245175925832
--,144904.0,0.9896532201828442
--,158975.5,0.9688789192129095
--,177268.5,1.023237463497765
--,201049.0,1.0501058084768962
--,231963.5,1.0638806182131832
--,272152.5,1.0461090256445729
--,324398.5,1.04805658867921
--,392318.5,1.0469718674545365
--,480614.0,1.044983629098347
--,595398.5,1.0263770408040633
--,744618.5,1.0381499616367642
--,938604.0,1.0323487581758055
--,1190785.0,1.0235410182965128
--,1518620.5,1.0112945620775788
--,1944807.0,1.0101760485841846
--,2498849.0,1.0111888488121776
--,3219104.0,1.0026065442865215
--,4155435.5,1.0015207224086087
--,5372666.0,0.999731235777492
--,6955066.0,0.9997594779682004
--,9012186.0,0.9990783857295085
