orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.3296446867753353
++,114422.0,1.142253892247124
++,119349.0,1.2131017301065297
++,125754.0,1.2855990834576079
++,134080.0,1.3391170653326905
++,144904.0,1.2864598869053354
++,158975.5,1.1426149054071062
++,177268.5,1.03362410663597
++,201049.0,1.2889836547708873
++,231963.5,1.2423414568258941
++,272152.5,1.2048631922589537
++,324398.5,1.3100944568240556
++,392318.5,1.3794149801211653
++,480614.0,1.1941858697561152
++,595398.5,1.2072171692087412
++,744618.5,1.1885064798539324
++,938604.0,1.2846954142303788
++,1190785.0,1.2124967942446236
++,1518620.5,1.1836032995371806
++,1944807.0,1.184067300188092
++,2498849.0,1.2130665374296183
++,3219104.0,1.0699379089089152
++,4155435.5,1.1454142288421232
++,5372666.0,0.998287749682884
++,6955066.0,1.0212526193835199
++,9012186.0,0.9126473528165091
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.352604736905479
+-,119349.0,1.1183184877374657
+-,125754.0,1.2724903323867662
+-,134080.0,1.3793520564032047
+-,144904.0,1.1546377173433724
+-,158975.5,1.2340946210782477
+-,177268.5,1.202127336535412
+-,201049.0,1.384174291668041
+-,231963.5,1.5120436020732404
+-,272152.5,1.3072019105558204
+-,324398.5,1.369022503500256
+-,392318.5,1.292706869554178
+-,480614.0,1.4030301012677537
+-,595398.5,1.2750562105549859
+-,744618.5,1.2816380928487656
+-,938604.0,1.31872089484374
+-,1190785.0,1.3368698546174487
+-,1518620.5,1.3699064918637354
+-,1944807.0,1.2897641113133855
+-,2498849.0,1.2276516563800917
+-,3219104.0,1.2162882465225464
+-,4155435.5,1.1806556634081742
+-,5372666.0,1.1156761500131558
+-,6955066.0,0.9882287836280291
+-,9012186.0,0.9137920437277857
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.2620284405221431
-+,114422.0,1.276328954851392
-+,119349.0,1.070505878902079
-+,125754.0,1.2171341252648782
-+,134080.0,1.126601319629415
-+,144904.0,1.1797491746535091
-+,158975.5,1.2440570494813357
-+,177268.5,1.1996485917264588
-+,201049.0,1.3038852478185436
-+,231963.5,1.214059247078815
-+,272152.5,1.2073727140226378
-+,324398.5,1.329550673297842
-+,392318.5,1.099519029093714
-+,480614.0,1.2111476701318422
-+,595398.5,1.2079031916964365
-+,744618.5,1.163657551735432
-+,938604.0,1.1828469910716146
-+,1190785.0,1.1507531685221775
-+,1518620.5,1.1527259038602655
-+,1944807.0,1.1288531853642283
-+,2498849.0,1.1153760521615703
-+,3219104.0,1.0807674499846098
-+,4155435.5,1.0483831983187655
-+,5372666.0,0.8511265980014331
-+,6955066.0,1.0104671905932432
-+,9012186.0,0.7994470716790271
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.0732233606900432
--,114422.0,1.5011415080387043
--,119349.0,1.152385386198052
--,125754.0,1.2864092703470864
--,134080.0,0.9509581328491277
--,144904.0,1.1705360119072759
--,158975.5,0.999341190642848
--,177268.5,1.2047004314609295
--,201049.0,1.2903172058595935
--,231963.5,1.3276859757861783
--,272152.5,1.2366808567612273
--,324398.5,1.2695705028654662
--,392318.5,1.265634667695735
--,480614.0,1.276707501311693
--,595398.5,1.167266507088304
--,744618.5,1.2623929487305623
--,938604.0,1.2433382302773772
--,1190785.0,1.2179628577060502
--,1518620.5,1.1303332234292942
--,1944807.0,1.1553680284117276
--,2498849.0,1.2503404399232723
--,3219104.0,1.0894460364059864
--,4155435.5,1.096958546990831
--,5372666.0,0.992850036230754
--,6955066.0,0.9726940552349258
--,9012186.0,0.6787865650683689
