orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.5416282229831113
++,114422.0,1.4732462936888997
++,119349.0,1.3682661180120999
++,125754.0,1.3557139213721696
++,134080.0,1.4269786569191747
++,144904.0,1.4329566288352462
++,158975.5,1.3225615929480314
++,177268.5,1.1307078367668162
++,201049.0,1.2228963240701478
++,231963.5,1.3713177931087641
++,272152.5,1.107378787973457
++,324398.5,1.4112913167317662
++,392318.5,1.2782884249394728
++,480614.0,1.2469117053414158
++,595398.5,1.2824675843566489
++,744618.5,1.191405343473653
++,938604.0,1.073659317634385
++,1190785.0,1.0508094720252865
++,1518620.5,1.0398943199839377
++,1944807.0,0.9311049637610966
++,2498849.0,1.0096584563254982
++,3219104.0,0.8969976914171742
++,4155435.5,0.8647753569693866
++,5372666.0,1.0696065159108552
++,6955066.0,0.980246262204113
++,9012186.0,0.8283286789548274
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.3266656123969405
+-,119349.0,1.266418834526811
+-,125754.0,1.7970771451972993
+-,134080.0,1.723353346032479
+-,144904.0,1.7302984036967415
+-,158975.5,1.8219408801976698
+-,177268.5,1.6608239374930807
+-,201049.0,1.673869499925234
+-,231963.5,2.037657916092008
+-,272152.5,1.543457147670515
+-,324398.5,1.6876881109525814
+-,392318.5,1.4558764354087783
+-,480614.0,1.6057494931907317
+-,595398.5,1.3039158290113129
+-,744618.5,1.242395228575924
+-,938604.0,1.2946964655340014
+-,1190785.0,1.1214917620349105
+-,1518620.5,1.1756479823717487
+-,1944807.0,0.9614506490526533
+-,2498849.0,0.8678058926524321
+-,3219104.0,0.8299302996211301
+-,4155435.5,0.969201164964888
+-,5372666.0,1.1950980440829453
+-,6955066.0,0.9761514466748505
+-,9012186.0,0.9809872423968646
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.280714476931588
-+,114422.0,1.3418903732016485
-+,119349.0,1.065946763872157
-+,125754.0,1.0841242748747884
-+,134080.0,1.1166987434656386
-+,144904.0,1.0803633666689039
-+,158975.5,0.9700332653984501
-+,177268.5,0.9650656094416186
-+,201049.0,1.1121225198080404
-+,231963.5,1.1058699976141464
-+,272152.5,1.0905655085094068
-+,324398.5,1.1796059781237327
-+,392318.5,0.9761009434871846
-+,480614.0,1.0068698873740873
-+,595398.5,1.081365508884741
-+,744618.5,1.0546047544336026
-+,938604.0,0.9931121115722552
-+,1190785.0,1.0870660619679613
-+,1518620.5,1.1104667032122852
-+,1944807.0,0.9115828344314569
-+,2498849.0,0.9090065907062767
-+,3219104.0,0.8803565126599435
-+,4155435.5,0.9215562226217896
-+,5372666.0,0.8489576228953337
-+,6955066.0,0.9329231314789223
-+,9012186.0,0.9744711817172411
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.2491322729385763
--,114422.0,1.9503431808769185
--,119349.0,1.2122143739739237
--,125754.0,1.4809893295726702
--,134080.0,1.1666497148467543
--,144904.0,1.2934919454597016
--,158975.5,1.155841932641351
--,177268.5,1.254145501481241
--,201049.0,1.3499857230645813
--,231963.5,1.2751749289653713
--,272152.5,1.3140078361785212
--,324398.5,1.1631787648011127
--,392318.5,1.160519167725697
--,480614.0,1.2376131305742533
--,595398.5,1.1812157600005713
--,744618.5,1.160176260238667
--,938604.0,1.1772302541914652
--,1190785.0,1.1080435468594374
--,1518620.5,1.172411915715383
--,1944807.0,0.9071495696013652
--,2498849.0,0.9641067873804654
--,3219104.0,0.9329257730781613
--,4155435.5,0.8325823825281149
--,5372666.0,0.918232339185282
--,6955066.0,0.9501685876219886
--,9012186.0,1.0181650663751123
