orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,0.9909221446942051
++,114422.0,0.9794532950434462
++,119349.0,0.9264978906055386
++,125754.0,0.9909334712323317
++,134080.0,0.9576907139534095
++,144904.0,1.088924725492252
++,158975.5,1.093640308387245
++,177268.5,1.0678477069837946
++,201049.0,1.0247825308596068
++,231963.5,1.0583635659638841
++,272152.5,0.8782299381035704
++,324398.5,1.1932309063485254
++,392318.5,1.1664273526915458
++,480614.0,1.099221779579909
++,595398.5,1.0991398680137254
++,744618.5,1.0249260832828513
++,938604.0,0.9887540319075752
++,1190785.0,1.0080248359489876
++,1518620.5,1.0715135769217026
++,1944807.0,1.0391188109818505
++,2498849.0,1.1330314754989308
++,3219104.0,1.0425358843454187
++,4155435.5,1.1636092811181746
++,5372666.0,1.0461411232760895
++,6955066.0,1.0141012760228043
++,9012186.0,1.0994678537480809
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.2135024099753908
+-,119349.0,0.9647517070539393
+-,125754.0,1.0928639136933418
+-,134080.0,1.150922972019388
+-,144904.0,1.062216905923881
+-,158975.5,1.1216942924551256
+-,177268.5,1.0022665882863941
+-,201049.0,1.064154816096807
+-,231963.5,1.1056301227183347
+-,272152.5,1.0209608773353738
+-,324398.5,1.0650232582349874
+-,392318.5,1.094262992892122
+-,480614.0,1.0806976213439223
+-,595398.5,1.0783594770964786
+-,744618.5,1.0910607826035585
+-,938604.0,1.126499619231351
+-,1190785.0,1.0312474713640203
+-,1518620.5,1.105030447466617
+-,1944807.0,1.0618364874675073
+-,2498849.0,1.0624013781320527
+-,3219104.0,0.9720151688712017
+-,4155435.5,1.0489491264347408
+-,5372666.0,1.0632865619959544
+-,6955066.0,1.0183596097430068
+-,9012186.0,1.1437757713447478
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.262384208603073
-+,114422.0,1.0242021088758715
-+,119349.0,1.0123013835362293
-+,125754.0,1.030574700610618
-+,134080.0,0.952466402753791
-+,144904.0,1.0871982340647874
-+,158975.5,1.0163932414768657
-+,177268.5,1.004355654022812
-+,201049.0,0.9410588510399237
-+,231963.5,1.058650201377917
-+,272152.5,0.9426755857831217
-+,324398.5,1.0445567325796195
-+,392318.5,1.0256387538519025
-+,480614.0,1.0274095200956315
-+,595398.5,0.9525139316370743
-+,744618.5,0.9911611854246183
-+,938604.0,1.0205235225211502
-+,1190785.0,1.0270799412424494
-+,1518620.5,1.1113276004603359
-+,1944807.0,1.0352973407742017
-+,2498849.0,1.0724703386225303
-+,3219104.0,1.1985591107864857
-+,4155435.5,1.0597686006816711
-+,5372666.0,1.1199580341816577
-+,6955066.0,1.0482881316023422
-+,9012186.0,1.0097287029553246
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.997165072876185
--,114422.0,1.1522785960974404
--,119349.0,0.9391024769483629
--,125754.0,1.1122751147232872
--,134080.0,0.9324043480353178
--,144904.0,1.0303691077106043
--,158975.5,1.1340768774800032
--,177268.5,1.065929170695594
--,201049.0,0.9899882541517189
--,231963.5,1.0846416345095249
--,272152.5,0.9832684124745418
--,324398.5,1.04839169307018
--,392318.5,1.0846534455308718
--,480614.0,0.9769413244289243
--,595398.5,1.001867875152963
--,744618.5,1.0527368324511397
--,938604.0,0.9985344927601825
--,1190785.0,0.9915573932287909
--,1518620.5,1.002573578204129
--,1944807.0,0.993050998261142
--,2498849.0,1.071272820107279
--,3219104.0,0.9705542192688712
--,4155435.5,1.0319564030554669
--,5372666.0,1.0936187219496896
--,6955066.0,1.0238643918946968
--,9012186.0,1.0636741843253317
