orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.6633014466210128
++,114422.0,1.322984811804198
++,119349.0,1.3738433928259841
++,125754.0,1.4374381683703523
++,134080.0,1.55622608257044
++,144904.0,1.421544590817016
++,158975.5,1.1896244467188066
++,177268.5,1.136570953755203
++,201049.0,1.1315853816052353
++,231963.5,1.3554801197213178
++,272152.5,1.1538263164337852
++,324398.5,1.375603757060205
++,392318.5,1.239273082191189
++,480614.0,1.2196818366132167
++,595398.5,1.0564312805172706
++,744618.5,1.0792885844612328
++,938604.0,0.9854257397533208
++,1190785.0,0.9430527572857255
++,1518620.5,0.8708152492980018
++,1944807.0,0.962255292220225
++,2498849.0,0.9002664998564097
++,3219104.0,0.8964005005086872
++,4155435.5,0.9250017958219984
++,5372666.0,0.9699824471620206
++,6955066.0,1.0797895085038636
++,9012186.0,0.993740048757759
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.2307368939646635
+-,119349.0,1.2729841897522012
+-,125754.0,1.7660324967210246
+-,134080.0,1.7193926221760032
+-,144904.0,1.6157514735675254
+-,158975.5,1.6371542058463553
+-,177268.5,1.546958230386264
+-,201049.0,1.5962455772056
+-,231963.5,1.9049218741352862
+-,272152.5,1.5545121523423344
+-,324398.5,1.6275240575209704
+-,392318.5,1.369940068104406
+-,480614.0,1.4190498996044374
+-,595398.5,1.1528766501303156
+-,744618.5,1.1551023794672133
+-,938604.0,1.1618089828271434
+-,1190785.0,0.9689969653464352
+-,1518620.5,0.9387872478769032
+-,1944807.0,1.0605584654185174
+-,2498849.0,0.9330383350914895
+-,3219104.0,1.0297722499453323
+-,4155435.5,0.9259792242596334
+-,5372666.0,1.04472294846015
+-,6955066.0,0.860599154140923
+-,9012186.0,0.8595760386252296
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.2757148564769785
-+,114422.0,1.1967190128200569
-+,119349.0,1.014057504346427
-+,125754.0,1.1001694398235553
-+,134080.0,1.1190540534009266
-+,144904.0,0.9779372494974623
-+,158975.5,1.027983893547085
-+,177268.5,0.9656209488611533
-+,201049.0,1.022149792175551
-+,231963.5,1.0579165005856774
-+,272152.5,1.0703743270350825
-+,324398.5,1.2995370574283387
-+,392318.5,0.8846621581446317
-+,480614.0,0.9775016937315226
-+,595398.5,0.9532530913643529
-+,744618.5,1.013256634048439
-+,938604.0,0.9281210581238744
-+,1190785.0,0.973890858174246
-+,1518620.5,0.8899866607091639
-+,1944807.0,0.9125970789837938
-+,2498849.0,0.9824100170784003
-+,3219104.0,0.8485825138928615
-+,4155435.5,0.8446651151711884
-+,5372666.0,0.8954625862231018
-+,6955066.0,0.9877683000503412
-+,9012186.0,0.8909461862300421
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,1.164070582817534
--,114422.0,1.6925933372689148
--,119349.0,1.2360907269794423
--,125754.0,1.4322430540285298
--,134080.0,1.04097718470556
--,144904.0,1.2155117367896702
--,158975.5,1.1406220610020017
--,177268.5,1.2107775134450658
--,201049.0,1.1753278931242321
--,231963.5,1.3057676103630802
--,272152.5,1.235307381927744
--,324398.5,1.2054834378431234
--,392318.5,1.16705481847887
--,480614.0,1.1457325427550475
--,595398.5,1.0666250036427065
--,744618.5,1.0698334094947104
--,938604.0,1.0215622821111352
--,1190785.0,1.0221327942147878
--,1518620.5,0.9179481184851035
--,1944807.0,1.0102337651103048
--,2498849.0,0.9327347153108706
--,3219104.0,0.9414852017606481
--,4155435.5,0.8824933372705738
--,5372666.0,0.9399812173236997
--,6955066.0,0.9772261135143961
--,9012186.0,0.9463020062580608
