orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.0768767317473944
++,114422.0,1.0623827879674808
++,119349.0,1.0713508748433314
++,125754.0,1.0151017009743177
++,134080.0,1.1605637938614501
++,144904.0,1.0819431275331237
++,158975.5,1.04167236752906
++,177268.5,0.9894239259348365
++,201049.0,1.011573780730699
++,231963.5,1.0935865062979102
++,272152.5,1.0008691354145736
++,324398.5,1.0439650714606312
++,392318.5,1.019271756673776
++,480614.0,1.0010303154403255
++,595398.5,0.9985655594543034
++,744618.5,0.9962535564755755
++,938604.0,0.9947482232348313
++,1190785.0,0.9987217591412834
++,1518620.5,0.997965576519628
++,1944807.0,0.9997715947234591
++,2498849.0,0.9993494021807954
++,3219104.0,0.9992357679040059
++,4155435.5,0.9996738097199691
++,5372666.0,1.0001061679343688
++,6955066.0,0.9997201584602406
++,9012186.0,0.9993572952412123
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.110649551008005
+-,119349.0,1.101102917014265
+-,125754.0,1.252631493955422
+-,134080.0,1.2565642559332681
+-,144904.0,1.2116917992107186
+-,158975.5,1.175601941045145
+-,177268.5,1.1550556732349901
+-,201049.0,1.2091840611245694
+-,231963.5,1.232260503107939
+-,272152.5,1.1122851265313012
+-,324398.5,1.08258720764125
+-,392318.5,1.033414373240946
+-,480614.0,1.0353653335734019
+-,595398.5,1.0011194677627653
+-,744618.5,1.0065477802524256
+-,938604.0,0.9977169199024847
+-,1190785.0,0.9992987152864339
+-,1518620.5,0.9990250232624365
+-,1944807.0,0.9999262982315285
+-,2498849.0,0.9993356910128894
+-,3219104.0,1.0001123613477552
+-,4155435.5,0.9987163619539916
+-,5372666.0,1.0005574354760525
+-,6955066.0,0.9992577860759231
+-,9012186.0,0.9998422366893742
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.2112634274229213
-+,114422.0,1.1062614783950022
-+,119349.0,0.9247517064044528
-+,125754.0,0.9922228739229528
-+,134080.0,0.9482464985139302
-+,144904.0,0.9717259193066337
-+,158975.5,0.9531992273722908
-+,177268.5,0.9571856318683237
-+,201049.0,1.0217892218249098
-+,231963.5,0.9878716055881996
-+,272152.5,0.9912098853555724
-+,324398.5,0.9995899361544169
-+,392318.5,0.9796849486951386
-+,480614.0,0.9804198611755278
-+,595398.5,0.9887601178214741
-+,744618.5,0.9958402566961442
-+,938604.0,0.995289518093333
-+,1190785.0,0.9985544104077922
-+,1518620.5,0.9998812519148528
-+,1944807.0,0.9986763238203492
-+,2498849.0,0.9997467329051215
-+,3219104.0,0.9997739195359302
-+,4155435.5,0.999383182785637
-+,5372666.0,0.9994112586293475
-+,6955066.0,0.9998229496903602
-+,9012186.0,0.9998089047521299
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.8898584251686683
--,114422.0,1.1872466587763701
--,119349.0,1.0158947583454265
--,125754.0,1.1148766442820306
--,134080.0,0.9609455811811634
--,144904.0,1.0488258181160293
--,158975.5,0.9926439724743645
--,177268.5,1.0115049629888748
--,201049.0,1.0323928531862077
--,231963.5,1.0392633629711343
--,272152.5,1.0266793978743078
--,324398.5,1.0063870824677168
--,392318.5,1.0156932549377167
--,480614.0,1.0130384970502702
--,595398.5,0.9977958579117243
--,744618.5,1.0026077361676224
--,938604.0,1.0000290557953497
--,1190785.0,0.9974156075525089
--,1518620.5,0.9999601886659817
--,1944807.0,0.9988451756881493
--,2498849.0,0.9988375397174798
--,3219104.0,0.9991561555883339
--,4155435.5,0.9995684223213608
--,5372666.0,0.999856968012295
--,6955066.0,0.9992653966672129
--,9012186.0,0.9997825458947488
