orientation,dist,peak_score
++,101250.0,nan
++,105475.0,nan
++,107717.5,nan
++,110632.5,1.4976189881234327
++,114422.0,1.6113488046233109
++,119349.0,1.219002861284213
++,125754.0,1.194791427161715
++,134080.0,1.2742489969559798
++,144904.0,1.3781913994907644
++,158975.5,1.3235434728963864
++,177268.5,1.1784754249574396
++,201049.0,1.375334859906488
++,231963.5,1.4997905455373652
++,272152.5,1.3012695482900327
++,324398.5,1.548092051394311
++,392318.5,1.5256823207593206
++,480614.0,1.3875698227523965
++,595398.5,1.2972619843779263
++,744618.5,1.3731404985056
++,938604.0,1.3533278336085974
++,1190785.0,1.2912423772442487
++,1518620.5,1.2943530433067263
++,1944807.0,1.012743740181379
++,2498849.0,0.9480741288632859
++,3219104.0,1.010091442574841
++,4155435.5,0.8083026986822001
++,5372666.0,0.7773870229138675
++,6955066.0,0.9889215968854167
++,9012186.0,0.6842795892384927
+-,101250.0,nan
+-,105475.0,nan
+-,107717.5,nan
+-,110632.5,nan
+-,114422.0,1.1545413785449625
+-,119349.0,1.145936275258034
+-,125754.0,1.4302175254788339
+-,134080.0,1.4496003926521586
+-,144904.0,1.3103370046747487
+-,158975.5,1.552613931391619
+-,177268.5,1.6256017947725512
+-,201049.0,1.872779950062171
+-,231963.5,1.692741840876763
+-,272152.5,1.458520251864695
+-,324398.5,1.7025610205845298
+-,392318.5,1.51445227094374
+-,480614.0,1.8229694691246605
+-,595398.5,1.6273815326868484
+-,744618.5,1.5222321717109841
+-,938604.0,1.5853192749576674
+-,1190785.0,1.524026771879761
+-,1518620.5,1.5866249153058982
+-,1944807.0,1.5619183856896974
+-,2498849.0,1.3338759865195473
+-,3219104.0,1.128546380643919
+-,4155435.5,0.7887374006829958
+-,5372666.0,0.7702278120358612
+-,6955066.0,0.8617724253433
+-,9012186.0,0.670052048305965
-+,101250.0,nan
-+,105475.0,nan
-+,107717.5,nan
-+,110632.5,1.0100111257166267
-+,114422.0,1.3440988872216635
-+,119349.0,1.2279088961127913
-+,125754.0,1.2025068343337648
-+,134080.0,1.262549438383582
-+,144904.0,1.0304199822504807
-+,158975.5,1.118706352246639
-+,177268.5,1.2453642790820623
-+,201049.0,1.3865351559898764
-+,231963.5,1.1667969036935604
-+,272152.5,1.2837146724863617
-+,324398.5,1.4982703620857287
-+,392318.5,1.0871735838756864
-+,480614.0,1.3686727214383172
-+,595398.5,1.2354652573233151
-+,744618.5,1.1099457990849926
-+,938604.0,1.0879444971394099
-+,1190785.0,1.1093316794061652
-+,1518620.5,1.035502670530946
-+,1944807.0,0.900125532796693
-+,2498849.0,0.8624889809413134
-+,3219104.0,0.8708613201423658
-+,4155435.5,0.8682184648542496
-+,5372666.0,0.7355415083904738
-+,6955066.0,0.7704608443527314
-+,9012186.0,0.7281717544155734
--,101250.0,nan
--,105475.0,nan
--,107717.5,nan
--,110632.5,0.957013853559954
--,114422.0,1.8388963051177178
--,119349.0,1.2172113245671456
--,125754.0,1.5055179265848486
--,134080.0,1.001649870720168
--,144904.0,1.0978448085568113
--,158975.5,1.1875813568953064
--,177268.5,1.3549247370127113
--,201049.0,1.5137702154687702
--,231963.5,1.2323473688954387
--,272152.5,1.4474539950245362
--,324398.5,1.3471135885551213
--,392318.5,1.2953215035121877
--,480614.0,1.4944291656827091
--,595398.5,1.4160277305184734
--,744618.5,1.2328860952449194
--,938604.0,1.2465431912393856
--,1190785.0,1.3185343294370075
--,1518620.5,1.1987340169067777
--,1944807.0,1.1813520802339093
--,2498849.0,1.071729124812862
--,3219104.0,0.9562072757658877
--,4155435.5,0.8678894730332062
--,5372666.0,0.9774751810819484
--,6955066.0,0.7681765540108851
--,9012186.0,0.5877391453536309
